round,train_loss,train_accuracy,test_loss,test_accuracy
1,2.216935684680939,0.17262,2.051694017648697,0.2606
2,2.0391663420200348,0.24392,1.912701539993286,0.3121
3,1.9571846687793732,0.27862,1.8330020487308503,0.3519
4,1.8781754095554353,0.3116,1.7152812814712524,0.3902
5,1.8175968832969664,0.33622,1.6441437363624574,0.4115
6,1.769418181180954,0.35472,1.598166867494583,0.4308
7,1.7192463786602021,0.37384,1.5564327728748322,0.4433
8,1.6859114625453948,0.38186,1.5041151785850524,0.4668
9,1.6499857697486877,0.39946,1.4736857438087463,0.4768
10,1.6267256188392638,0.40738,1.4490927624702454,0.4871
11,1.6059165923595429,0.41646,1.4083496177196502,0.4987
12,1.5819080028533936,0.42374,1.409565578699112,0.503
13,1.557906344652176,0.43256,1.3799589991569519,0.5211
14,1.5377305188179016,0.4414,1.3595759642124177,0.5229
15,1.5173584582805633,0.45182,1.3319395756721497,0.5316
16,1.493213684797287,0.4614,1.3055539536476135,0.5414
17,1.4751156907081604,0.46562,1.2860909080505372,0.5498
18,1.4590662236213685,0.4751,1.2646254110336304,0.5577
19,1.4388709666728974,0.47918,1.2487538051605225,0.5591
20,1.4219585130214691,0.48768,1.2366441655158997,0.5647
21,1.4053765308856965,0.49282,1.2127216184139251,0.5754
22,1.384015783548355,0.50382,1.1945877254009247,0.5804
23,1.3731890466213226,0.5076,1.1800943052768706,0.5848
24,1.3572853937149048,0.51248,1.1651363962888717,0.591
25,1.337006475687027,0.51962,1.1519123166799545,0.5987
26,1.3279591171741485,0.52356,1.1319588112831116,0.6071
27,1.3097172555923462,0.5298,1.127921690940857,0.6098
28,1.2957357335090638,0.53568,1.1102483361959457,0.6092
29,1.2836316800117493,0.54046,1.0995976173877715,0.6189
30,1.2680218315124512,0.54704,1.0898700547218323,0.6229
31,1.2587519207000732,0.55052,1.0710845112800598,0.6326
32,1.2481454988718033,0.55358,1.0628780311346053,0.6334
33,1.2269676609039306,0.56232,1.0467984414100646,0.6399
34,1.222480984568596,0.56432,1.037093254327774,0.6393
35,1.2047833988666534,0.5714,1.0194185733795167,0.6479
36,1.1950899243354798,0.57562,1.01380664229393,0.6494
37,1.1829698021411896,0.57882,0.9993653744459152,0.6523
38,1.1774879797697066,0.58162,0.9945509475469589,0.6598
39,1.1705700445175171,0.5841,0.9857826870679856,0.6622
40,1.1576452885866164,0.58888,0.9811582332849502,0.6601
41,1.1455080697536468,0.59492,0.9707904225587844,0.663
42,1.144827211022377,0.59342,0.9620072388648987,0.6675
43,1.139292452454567,0.59478,0.9522926265001297,0.6693
44,1.1179721791744233,0.60214,0.9478973138332367,0.6716
45,1.110538622736931,0.60516,0.9396625196933747,0.6753
46,1.1014484422206878,0.61046,0.9310239040851593,0.6788
47,1.1054442367553712,0.60704,0.9266858845949173,0.6818
48,1.0884932084083556,0.6138,0.9248376256227493,0.6795
49,1.0834232969284057,0.61678,0.9179161369800568,0.6868
50,1.0798736407756806,0.6216,0.9085892969369889,0.6908
51,1.0717682954072951,0.61972,0.9030264616012573,0.6907
52,1.064499345421791,0.6229,0.8984256380796433,0.6928
53,1.0538285635709763,0.62812,0.8870502346754074,0.6984
54,1.0504776926040649,0.62674,0.8831811845302582,0.6941
55,1.0453697782754898,0.62932,0.8831654971837998,0.7004
56,1.0360451610088348,0.63166,0.8753014546632767,0.6999
57,1.0250554962158203,0.63644,0.8720645153522492,0.7033
58,1.0290348401069642,0.63666,0.8602590996026993,0.7051
59,1.0191582942008972,0.63814,0.8559942197799683,0.7093
60,1.010926082611084,0.64328,0.8508927917480469,0.7099
61,1.0067173749208451,0.64366,0.8442649710178375,0.7108
62,1.0018405017852783,0.64606,0.8498792088031769,0.7097
63,0.9945963444709778,0.64792,0.8391358751058579,0.7145
64,0.9893521772623062,0.6507,0.8331799280643463,0.7157
65,0.9884737387895585,0.65188,0.8332131505012512,0.7167
66,0.9769706542491913,0.65474,0.8319644385576248,0.7166
67,0.9763358284235001,0.65518,0.8282615560293197,0.7187
68,0.9752652777433395,0.65594,0.8184607887268066,0.7231
69,0.9588172662258149,0.66054,0.8138008779287338,0.7231
70,0.9549287242889404,0.66374,0.8152902525663376,0.7236
71,0.9533944252729416,0.66378,0.8054017502069474,0.7257
72,0.9486507484912873,0.66598,0.7995324957370759,0.7299
73,0.9459350879192352,0.66542,0.7991704028844834,0.7304
74,0.9340499925613404,0.66958,0.7919437623023987,0.7319
75,0.9348796149492263,0.67252,0.7884689116477966,0.7324
76,0.9321664526462555,0.67064,0.7887545871734619,0.7356
77,0.9287605735063553,0.67144,0.7804382354021072,0.7344
78,0.9202166608572007,0.67566,0.7814621907472611,0.7359
79,0.9172279244661331,0.67816,0.7760759729146958,0.7379
80,0.9135270302295685,0.67864,0.7710758972167969,0.7378
81,0.9127659116983413,0.67792,0.7682802164554596,0.7399
82,0.9063411079645157,0.68048,0.7758385443687439,0.7352
83,0.903044276714325,0.68246,0.7603390842676163,0.7406
84,0.895138587474823,0.68504,0.756297777891159,0.7425
85,0.8906073044538498,0.68616,0.7553839689493179,0.7434
86,0.8966097794771194,0.68416,0.7549579381942749,0.7465
87,0.8862986742258072,0.68982,0.753544871211052,0.7454
88,0.8773349670171737,0.69166,0.7444187486171723,0.747
89,0.8784167340993881,0.6927,0.7453561580181122,0.7521
90,0.8720838339328766,0.69522,0.7397682362794876,0.7484
91,0.8681617686748505,0.69286,0.7409661710262299,0.7497
92,0.866940976023674,0.69676,0.7370733040571212,0.7506
93,0.8635635304450989,0.69622,0.7359633189439774,0.7495
94,0.8647650449275971,0.6968,0.7322215014696121,0.7515
95,0.8599823447465896,0.69928,0.7295683139562607,0.7531
96,0.8557711193561554,0.69852,0.7230071765184403,0.7533
97,0.8436107367277146,0.70334,0.720388063788414,0.7545
98,0.8489275540113449,0.7018,0.7254073798656464,0.7549
99,0.8455875074863434,0.70198,0.7262103748321533,0.7551
100,0.8404556566476822,0.70424,0.7226853460073471,0.7538
101,0.8414135324954987,0.70576,0.718363841176033,0.7559
102,0.8385893976688386,0.7065,0.7107605844736099,0.76
103,0.8329987615346909,0.70732,0.7120013928413391,0.758
104,0.8359286797046661,0.70568,0.7080656725168228,0.7606
105,0.8265753724575042,0.71004,0.7073079562187194,0.7591
106,0.8258020658493042,0.7089,0.7056713736057282,0.7602
107,0.8238275952339172,0.71138,0.7005027854442596,0.7621
108,0.8181371358633042,0.71358,0.7005995857715607,0.7639
109,0.8123171861171723,0.71748,0.6975706607103348,0.7661
110,0.8098692398071289,0.71564,0.6956966578960418,0.7647
111,0.809171415925026,0.71644,0.6930749219655991,0.7665
112,0.8129634402990341,0.71454,0.6903450208902359,0.7645
113,0.8076830855607986,0.72014,0.6894072371721268,0.7638
114,0.8044325811862946,0.7179,0.6867186444997787,0.7676
115,0.7988211745023728,0.72008,0.6836045855283737,0.7692
116,0.7922973755598068,0.7223,0.6867970585823059,0.7676
117,0.7970697604417801,0.71908,0.6795047551393509,0.769
118,0.7918413585424423,0.72212,0.6837736815214157,0.768
119,0.7879630128145217,0.72424,0.6812236550450325,0.7716
120,0.7848548165559769,0.727,0.6750537544488907,0.77
121,0.7884752652049065,0.72428,0.6744752794504165,0.7681
122,0.7832178360819817,0.7258,0.6739197826385498,0.7695
123,0.7771026561260224,0.72544,0.6703714528679847,0.7732
124,0.7753359470367431,0.72854,0.6756001654267311,0.7719
125,0.7761929103136063,0.72862,0.6693138992786407,0.7752
126,0.7771530861854553,0.72744,0.669134387075901,0.7727
127,0.7733284650444985,0.72746,0.6634851261973381,0.7746
128,0.7715055433511734,0.7322,0.6630897673964501,0.7748
129,0.7675800670385361,0.73036,0.6650436595082283,0.7759
