round,train_loss,train_accuracy,test_loss,test_accuracy
1,1.9692836706638337,0.24124,2.049434617757797,0.263
2,1.8173708808422089,0.30798,1.9263493025302887,0.3166
3,1.739657386302948,0.34206,1.8242607998847962,0.3592
4,1.6793045459985734,0.36674,1.741174795627594,0.3769
5,1.6263868783712387,0.38862,1.681187607049942,0.404
6,1.5831540122032166,0.40896,1.613085889816284,0.4288
7,1.5475983095169068,0.42112,1.5578904676437377,0.4485
8,1.515056725025177,0.43594,1.5309616363048553,0.457
9,1.4821253122091294,0.44706,1.5004184234142304,0.4678
10,1.456503620147705,0.45888,1.468794754743576,0.4878
11,1.4353352276086808,0.46618,1.4341407310962677,0.4895
12,1.410184034705162,0.47682,1.4170881259441375,0.5013
13,1.3935430792570114,0.48118,1.3814179980754853,0.5139
14,1.3624575464725495,0.49242,1.3827337527275085,0.5151
15,1.3530116753578185,0.49824,1.343369402885437,0.5253
16,1.3305227092504501,0.50752,1.3320453989505767,0.5297
17,1.3105090210437775,0.51296,1.3107250571250915,0.5383
18,1.2944487893581391,0.52118,1.2844083976745606,0.5446
19,1.2792797596454621,0.52632,1.2644363248348236,0.5509
20,1.2619743875265121,0.534,1.246293259859085,0.5615
21,1.2495913625955581,0.54018,1.2308905279636384,0.5683
22,1.2301695140600204,0.54638,1.2159248471260071,0.5751
23,1.21845168030262,0.5537,1.2020795369148254,0.5821
24,1.2037176113128663,0.55984,1.1831781840324402,0.5847
25,1.1999852240681648,0.56196,1.170228939652443,0.5905
26,1.1853294697403909,0.56856,1.1594898480176925,0.5931
27,1.1668432718515396,0.57212,1.1445418179035187,0.6032
28,1.1415538818836213,0.58342,1.1294607818126678,0.6069
29,1.1383535568118095,0.58254,1.1225223952531815,0.6119
30,1.1320003645420074,0.58712,1.1131513071060182,0.6064
31,1.1153183489441871,0.59566,1.0894702517986297,0.6223
32,1.105660728931427,0.59546,1.08858045399189,0.6221
33,1.1064876531362533,0.59646,1.0773206061124803,0.6295
34,1.0882952488660813,0.6062,1.0615359622240066,0.6323
35,1.076199292421341,0.61022,1.0547350370883941,0.6372
36,1.0685792623758317,0.6128,1.0340647250413895,0.6438
37,1.0563350433707237,0.61832,1.029435470700264,0.6455
38,1.0471091331243516,0.61988,1.0265307211875916,0.6461
39,1.0341687913537025,0.62702,1.0064006012678146,0.6496
40,1.0278514734506607,0.6297,1.000842283964157,0.6508
41,1.011487408041954,0.6353,0.9893617868423462,0.6566
42,1.003974388718605,0.63678,0.9863902235031128,0.6564
43,1.002280536711216,0.6383,0.9699512523412704,0.664
44,0.9922128548622131,0.6426,0.9695264279842377,0.6648
45,0.9819774007201195,0.64458,0.9593849492073059,0.6667
46,0.9769124285578727,0.64958,0.9499840170145035,0.6736
47,0.976391112446785,0.64802,0.9437094223499298,0.673
48,0.9642578232884407,0.65162,0.9430166226625443,0.6769
49,0.9558629460334778,0.65936,0.9372522163391114,0.6754
50,0.9505494022965432,0.6582,0.9261839646100998,0.6823
51,0.9397955484986306,0.66328,0.9189238661527633,0.6846
52,0.9303998865485191,0.66348,0.905796296596527,0.6881
53,0.926008974313736,0.66698,0.906224382519722,0.6889
54,0.9220717061758041,0.66732,0.9003034925460816,0.6898
55,0.918627322435379,0.66928,0.8945311337709427,0.6896
56,0.9112124724984169,0.67274,0.8880266010761261,0.6958
57,0.9074437038898469,0.6747,0.8938583916425705,0.6938
58,0.902185879945755,0.67712,0.8747534811496734,0.6992
59,0.8953679969906807,0.67732,0.8808511137962342,0.6964
60,0.8858554958701134,0.68424,0.8619809490442276,0.7041
61,0.887337825089693,0.68348,0.8620884585380554,0.7054
62,0.8805937708616257,0.6852,0.8577502244710922,0.707
63,0.8771059897542,0.68582,0.8501192313432694,0.7081
64,0.8603931028842926,0.69182,0.8494147855043411,0.7079
65,0.8654945585131645,0.69118,0.8436838287115097,0.7099
66,0.853763937830925,0.69448,0.8309762531518936,0.7161
67,0.8532431071996689,0.6963,0.8316573894023895,0.7119
68,0.8420075289905071,0.69762,0.8244969111680984,0.7154
69,0.842854288071394,0.69936,0.8236547571420669,0.7171
70,0.8362781237959862,0.70008,0.8273351204395294,0.7212
71,0.8334853690862656,0.7011,0.8219037210941315,0.7195
72,0.8294686252176762,0.7036,0.8129694521427154,0.7206
73,0.8215971623957157,0.70516,0.8071231293678284,0.7228
74,0.8145545088648796,0.70964,0.803319953083992,0.7257
75,0.8135884013772011,0.70982,0.802732498049736,0.7248
76,0.8111135471463203,0.71172,0.797579915523529,0.7298
77,0.8042379786968231,0.71288,0.7990220367908478,0.7278
78,0.8026269945204259,0.71138,0.7904869848489762,0.7291
79,0.7943734931349754,0.7164,0.7842947286367417,0.7288
80,0.7944855130314827,0.71562,0.78400255382061,0.7313
81,0.7884316689372063,0.71674,0.7839080500602722,0.732
82,0.7812168845534324,0.72218,0.7747799128293991,0.7345
83,0.7848226432204246,0.71928,0.7752214187383651,0.7341
84,0.7765256416499615,0.7238,0.7764934355020523,0.7345
85,0.7802645971775055,0.72042,0.7675511544942856,0.7358
86,0.7716653747856617,0.72604,0.7686271101236344,0.736
87,0.768657140493393,0.7252,0.7648464512825012,0.7407
88,0.7670470156669617,0.72712,0.7605315375328064,0.7401
89,0.7635036515891552,0.72892,0.7584760451316833,0.7426
90,0.7563843887746334,0.73002,0.7513252937793732,0.7412
91,0.7491604958474636,0.73352,0.7541438126564026,0.7412
92,0.7517077657282353,0.73374,0.752005056142807,0.7422
93,0.7528512732684612,0.73202,0.7501942420005798,0.7414
94,0.7450947952270508,0.73672,0.7414426469802856,0.747
95,0.7438586077392101,0.73648,0.7404891794919968,0.746
96,0.7365183351635933,0.73752,0.7369581478834152,0.7465
97,0.736213416993618,0.7379,0.7331947958469391,0.7473
98,0.7341492617428302,0.73848,0.7364031702280045,0.7486
99,0.7241134429275989,0.74166,0.7306964147090912,0.7498
100,0.728184906244278,0.738,0.7295679074525833,0.7512
101,0.7188198060691356,0.74558,0.7317234003543853,0.7488
102,0.7254083653986454,0.74214,0.7280190449953079,0.7516
103,0.7238487465977669,0.74206,0.7246841913461686,0.7498
104,0.7150537411868573,0.74448,0.7194679397344589,0.7552
105,0.7126820431947708,0.74424,0.7170356482267379,0.7522
106,0.7102133556008339,0.75,0.714645938873291,0.7555
107,0.7119211420714855,0.74776,0.7107278591394425,0.7563
108,0.7055473220348358,0.74802,0.7114463204145431,0.7563
109,0.7025636316239834,0.75054,0.7059087455272675,0.7567
110,0.6998074340522289,0.7521,0.7078505295515061,0.756
111,0.7023071572780609,0.74914,0.708804224729538,0.7577
112,0.6990095079541206,0.75082,0.7047971469163895,0.758
113,0.6921372093260288,0.75282,0.7038409572839737,0.7578
114,0.6879446091651916,0.75444,0.7019480675458908,0.7591
115,0.696973686516285,0.75144,0.6996751275658607,0.7583
116,0.6853533083498478,0.7567,0.6927398437261582,0.7621
117,0.6890396110415459,0.7554,0.69281896173954,0.7614
118,0.6802567476034165,0.75934,0.6914516749978066,0.7611
119,0.6748904506266117,0.7572,0.6924848067760467,0.763
120,0.677788489997387,0.75936,0.6882331785559654,0.7631
121,0.677073241263628,0.75932,0.6829200169444084,0.7637
122,0.6738509107232094,0.76142,0.6846838909387588,0.7638
123,0.6705589410066605,0.76056,0.6834721648693085,0.7651
124,0.6715319960415363,0.76204,0.6838313570618629,0.7627
125,0.6663588071167469,0.76188,0.6803260162472725,0.7675
126,0.6666969412565231,0.7616,0.6783795136213303,0.766
127,0.6664926193654537,0.76352,0.6741236734390259,0.7658
128,0.6615703080594539,0.7654,0.6775006252527237,0.7666
129,0.659988027870655,0.76718,0.6784170264005661,0.7663
130,0.657829558968544,0.76912,0.6727475705742836,0.7666
131,0.6593987123668194,0.7677,0.6720710718631744,0.7671
132,0.6502629380524159,0.77018,0.6730836740136147,0.7691
133,0.6493487866222858,0.76962,0.6690897762775421,0.771
134,0.6448452579677105,0.76988,0.6669698742032051,0.7691
135,0.6472693701684475,0.76912,0.6654761904478073,0.771
136,0.6450054582059384,0.77132,0.6652258720993995,0.7697
137,0.643037666618824,0.77108,0.663045314848423,0.7679
138,0.6425737455785274,0.77252,0.6629456481337548,0.7697
139,0.6412139431238174,0.77314,0.6603994971513748,0.7714
140,0.632195055782795,0.77454,0.65857251226902,0.7743
141,0.6358852945268154,0.77398,0.6576696676015854,0.7732
142,0.6362994634509087,0.77426,0.6578326356410981,0.773
143,0.6290071555376053,0.77674,0.6601690107584,0.7706
144,0.6333583404719829,0.77486,0.6560219562053681,0.7739
145,0.6247353827059269,0.7788,0.6533842167258263,0.7727
146,0.6262235366106034,0.77626,0.6532499945163727,0.7724
147,0.628329472541809,0.77602,0.653603895008564,0.7737
148,0.6240519239604473,0.7786,0.6518282434344291,0.777
149,0.6227511556744576,0.77916,0.6490565237402915,0.7769
150,0.6249830899983645,0.77746,0.6497515845298767,0.7761
151,0.6163494444936514,0.78354,0.6528076905012131,0.7761
152,0.6174259972274303,0.78138,0.6457002618908882,0.7782
153,0.6162894543409347,0.78038,0.6439843434095383,0.7784
154,0.6179034804999828,0.78082,0.6426418164372444,0.7803
155,0.613380391895771,0.783,0.642135637998581,0.7794
156,0.612897754073143,0.78238,0.6439241287112236,0.7792
157,0.6146914407610893,0.78272,0.6396905037760735,0.7799
158,0.6087787606418132,0.7838,0.6404392015933991,0.7819
159,0.60884296682477,0.78522,0.6404495188593864,0.781
160,0.6053188557326794,0.78562,0.6386599346995354,0.7843
161,0.5987128934562206,0.78806,0.6402430841326714,0.7789
162,0.6045517493784428,0.78426,0.6387363392114639,0.7824
163,0.6000484352707863,0.78732,0.6361748790740966,0.7823
164,0.5996253738701344,0.78732,0.6337639257311821,0.7823
165,0.5997998248636722,0.78704,0.6338425150513649,0.7827
166,0.5986814227700233,0.78784,0.6334558108448982,0.7834
167,0.5970999058783054,0.78864,0.6327180543541908,0.7834
168,0.595872762531042,0.78714,0.628557707965374,0.7851
169,0.5997726207375527,0.78784,0.629373571574688,0.7839
170,0.591044193059206,0.79206,0.6296445235610009,0.7847
171,0.5936886716485024,0.78848,0.6318659317493439,0.7821
172,0.5918380141854286,0.79016,0.6258303239941597,0.7832
173,0.5928521058559417,0.7898,0.6291408693790436,0.786
174,0.5936628268957138,0.78994,0.6282091188430786,0.7847
175,0.5849250070750713,0.79212,0.624806487262249,0.7842
176,0.5822082471847534,0.79312,0.6239199051260949,0.7863
177,0.5834080331921577,0.79326,0.621414404809475,0.7869
178,0.5846365675479174,0.7913,0.6228318810462952,0.7881
179,0.579604504302144,0.79416,0.6231914883852006,0.7867
180,0.5827220150232315,0.79378,0.6231629320979118,0.7884
181,0.5768788492381572,0.7953,0.6213174447417259,0.7875
182,0.5815873472988605,0.79558,0.616979675590992,0.792
183,0.5768460423350334,0.79318,0.6210894206166268,0.7885
184,0.5747554119825363,0.79662,0.6183895298838615,0.7898
185,0.57411748239398,0.7985,0.6183312568068504,0.7897
186,0.5714347335249186,0.79612,0.6158622297644615,0.7898
187,0.5724195090979338,0.79608,0.6180012261867524,0.7908
188,0.5663482399284839,0.80014,0.6134912821650506,0.7908
189,0.57403899307549,0.7982,0.6131665331125259,0.7907
190,0.5661431165337563,0.79912,0.6161196169257164,0.7932
191,0.5691054318845272,0.80098,0.616093116402626,0.7899
192,0.5674124796986579,0.79984,0.6149579986929894,0.7908
193,0.5657755698859691,0.79866,0.6142367792129516,0.7926
194,0.5626191573441028,0.80038,0.6131601279973984,0.7926
195,0.5631418415904045,0.80066,0.6108885750174522,0.7933
196,0.5709849239587784,0.79684,0.6135503703355789,0.7908
197,0.5598153430819511,0.80148,0.6120141589641571,0.7929
198,0.5646062878370285,0.80164,0.6135968792438508,0.7887
199,0.5628252236992121,0.80038,0.6102014407515526,0.7918
200,0.5558012413680553,0.802,0.6107746902108192,0.7907
201,0.5586387363672256,0.80252,0.6087976086139679,0.7937
202,0.5579205657243729,0.80238,0.6079610902070999,0.7932
203,0.559471040815115,0.80166,0.6073967391252517,0.7945
204,0.5533745885044337,0.80294,0.6053670910000801,0.7944
205,0.551288771033287,0.80392,0.6070379322767258,0.7948
206,0.5514097150266171,0.80364,0.6050369319319725,0.7929
207,0.5493669948875904,0.80678,0.6051482501626014,0.7947
208,0.554150973662734,0.80242,0.6051224750280381,0.7947
209,0.5516688827872276,0.80476,0.6038978320360183,0.794
210,0.5462766497135162,0.8072,0.603075029850006,0.7948
211,0.5464884158223867,0.80472,0.6035820111632347,0.7928
212,0.5450500044822693,0.80646,0.6014738103747368,0.7936
213,0.546524048268795,0.8078,0.6024028065800667,0.7938
214,0.5494827852547168,0.80574,0.6048292601108551,0.7919
215,0.5425206673741341,0.80768,0.6014036536216736,0.7932
216,0.5401549192667008,0.8072,0.6007362538576126,0.7954
217,0.5443230654150247,0.80634,0.5978169760107994,0.7956
218,0.5412476090192795,0.80878,0.5982728776335716,0.7956
219,0.5365647560954094,0.8108,0.6007046470046044,0.7956
220,0.5361578106731176,0.80856,0.5990875619649887,0.7955
221,0.5392869040369987,0.80858,0.5967816773056984,0.7986
222,0.540207554653287,0.80932,0.5964083805680275,0.7975
223,0.5373967458605766,0.80896,0.5959211227297783,0.797
224,0.5384770689606666,0.8097,0.5990717372298241,0.7961
225,0.5367069926559925,0.81022,0.595186862051487,0.7982
226,0.5311982014775276,0.81028,0.5953354370594025,0.7966
227,0.5368005733937025,0.81004,0.5939174422621727,0.7976
228,0.5319066235274077,0.81226,0.5934888488054275,0.8008
229,0.5268294412642718,0.81396,0.5929014685750008,0.7967
230,0.5341560845673085,0.8114,0.5934961721301079,0.7991
231,0.5311076771467924,0.8101,0.5927557489275932,0.7957
232,0.5276054200232029,0.81112,0.5935789480805397,0.7979
233,0.5278352703750133,0.81298,0.5931120783090591,0.7995
234,0.528038476318121,0.81258,0.5891804713010788,0.7963
235,0.5282853302061558,0.81354,0.5894693630933762,0.7981
236,0.5261245846524835,0.81236,0.5887839585542679,0.8009
237,0.520836898252368,0.81412,0.5886237570643424,0.8
238,0.5264461388289928,0.81352,0.5901497605443001,0.798
239,0.5234486942589283,0.81448,0.5907091826200486,0.7983
240,0.5225124409496784,0.81494,0.5867934367060661,0.7985
241,0.5226607841551304,0.81582,0.587524661719799,0.7975
242,0.5250558455139399,0.81506,0.5860799959301949,0.7993
243,0.5219323203861713,0.81464,0.5877540749311447,0.8001
244,0.5156904904693365,0.81524,0.5853715971112251,0.8004
245,0.5193361744731665,0.81492,0.5867903220653534,0.799
246,0.5204636101126671,0.81514,0.5853418013453484,0.8001
247,0.5221902564316988,0.81322,0.586620856821537,0.7997
248,0.5181632144898176,0.81698,0.583939973115921,0.8018
249,0.5184951356649399,0.81536,0.5853310292959213,0.7982
250,0.5161489174067974,0.81562,0.5839282029867172,0.8008
251,0.516967432886362,0.8167,0.5849105620384216,0.8011
252,0.5167887498885393,0.81678,0.5828830415010452,0.802
253,0.5099171559661627,0.81824,0.583408372104168,0.7986
254,0.5111743156462908,0.81724,0.5834635534882545,0.802
255,0.5117471370995045,0.81946,0.5815069642663002,0.8011
256,0.5083589507043361,0.81976,0.5826304516196251,0.8012
257,0.5096416810899973,0.8194,0.5822675758600235,0.8009
258,0.5101292522102594,0.81906,0.5816614708304405,0.8014
259,0.5114321184754371,0.81808,0.5809981402754784,0.8008
260,0.5054967331141234,0.8202,0.58161067456007,0.803
261,0.5057559941411018,0.82142,0.5804684311151505,0.7988
262,0.5076901849359274,0.81962,0.5809980934858322,0.8027
263,0.5061162554770708,0.82094,0.5793574991822242,0.8016
264,0.5063031322956085,0.8201,0.5781971606612205,0.8011
265,0.505063395857811,0.8219,0.578250960111618,0.8026
266,0.5039354698061943,0.82214,0.57895920753479,0.8033
267,0.5022640495300293,0.82302,0.5771035113930703,0.8039
268,0.5045396386384964,0.82236,0.5805513808131217,0.8016
269,0.5002506661564111,0.82228,0.5774540814757347,0.8049
270,0.4990167675614357,0.82124,0.5777377945184707,0.8036
271,0.5037946138381958,0.82138,0.5767583879828453,0.8037
272,0.500463823363185,0.82226,0.5772632792592048,0.8032
273,0.502721417799592,0.82202,0.5748967778682709,0.8035
274,0.5017817574888468,0.82202,0.5734990215301514,0.8043
