round,train_loss,train_accuracy,test_loss,test_accuracy
1,0.7845955801904202,0.73026,2.2231382656097414,0.1808
2,0.6985558919012547,0.75354,2.108604172468185,0.2016
3,0.6260081236958503,0.77814,2.0251409113407135,0.24
4,0.6048606936782599,0.7883,1.9485091173648834,0.2629
5,0.5849626469686627,0.79268,1.8894062745571136,0.2975
6,0.570622666195035,0.80234,1.8624666261672973,0.3034
7,0.5433887265920639,0.80986,1.8190093564987182,0.3121
8,0.527255721628666,0.81506,1.8002944672107697,0.3336
9,0.5202900287359953,0.81696,1.7402551341056824,0.3622
10,0.5037199873849749,0.82228,1.6905728220939635,0.3826
11,0.4924108083099127,0.8259,1.6572674405574799,0.3967
12,0.48270495131611824,0.8305,1.6343852615356445,0.3994
13,0.48650684595108035,0.82918,1.6309040021896362,0.3999
14,0.46492953203618526,0.83422,1.5994555008411409,0.4057
15,0.45697391390800474,0.83826,1.5533568632602692,0.4324
16,0.4524023617580533,0.83836,1.545330764055252,0.4267
17,0.44119794462621215,0.84138,1.522179605960846,0.439
18,0.4391223044320941,0.84426,1.512176162004471,0.4469
19,0.4273275681659579,0.84642,1.5010546958446502,0.4413
20,0.42795472406223417,0.84786,1.4978894555568696,0.4401
21,0.423009431026876,0.85004,1.4747775423526763,0.4529
22,0.42213299465179444,0.84724,1.4635234892368316,0.4608
23,0.41282964523136617,0.85036,1.4395431685447693,0.4694
24,0.4144086833372712,0.84994,1.4289475798606872,0.4694
25,0.39734368558228017,0.85652,1.4172136449813844,0.479
26,0.3981675537452102,0.85742,1.409200804233551,0.4801
27,0.3966269187256694,0.8569,1.4016002655029296,0.4785
28,0.39191809045523407,0.85792,1.387824090719223,0.494
29,0.390253341794014,0.85956,1.3886941611766814,0.4905
30,0.3856236919388175,0.85968,1.3909731829166412,0.4855
31,0.3805400056988001,0.86294,1.3799205219745636,0.4978
32,0.385911916077137,0.86168,1.362117385864258,0.5012
33,0.3794950120821595,0.86386,1.3562467980384827,0.5053
34,0.3731868343949318,0.8649,1.3572144412994385,0.5015
35,0.3694221646860242,0.86668,1.3365831649303437,0.5134
36,0.36822857266664505,0.8676,1.3342698693275452,0.5102
37,0.36163964999094605,0.86934,1.30751122713089,0.5242
38,0.3590415350459516,0.8702,1.3074983954429626,0.5226
39,0.361385209210217,0.86938,1.3076014816761017,0.5243
40,0.35269304511323574,0.87364,1.2973060154914855,0.526
41,0.3543808653391898,0.87282,1.2859527087211609,0.5329
42,0.3536881942600012,0.87266,1.2852835190296172,0.5322
43,0.346278634019196,0.87556,1.2939388811588288,0.5272
44,0.34919662276655433,0.87382,1.2766410875320435,0.5338
45,0.3471407229192555,0.87348,1.2672666573524476,0.537
46,0.3369985663257539,0.8769,1.2762430024147033,0.5323
47,0.3356287605687976,0.8786,1.2447803795337677,0.5505
48,0.33853296414762735,0.87802,1.2397132432460785,0.5508
49,0.3390383289270103,0.87688,1.2308491063117981,0.5534
50,0.342844234444201,0.8777,1.2348632514476776,0.5525
51,0.3279327393807471,0.88176,1.227875336408615,0.5518
52,0.3282667951323092,0.88222,1.2168003809452057,0.559
53,0.3286484162844717,0.8804,1.2270062291622161,0.5503
54,0.32775607188791034,0.88186,1.2150028991699218,0.5621
55,0.3246643064916134,0.88178,1.2101586699485778,0.5611
56,0.31958770589902996,0.88516,1.1987841200828553,0.5601
57,0.31897818978130815,0.88472,1.1949334025382996,0.5686
58,0.3223732173256576,0.88328,1.1909115886688233,0.5691
59,0.3168703055754304,0.88754,1.1919037902355194,0.5722
60,0.3210003212839365,0.88466,1.1817114406824112,0.5753
61,0.31249602512642743,0.88734,1.1758990907669067,0.5779
62,0.30897914231941104,0.88718,1.1612969225645065,0.5801
63,0.31071516117453574,0.8898,1.1592451578378677,0.5772
64,0.30668516593426465,0.89036,1.1558705568313599,0.5788
65,0.3075418864935637,0.88996,1.1558552867174148,0.5788
66,0.29800516491383316,0.8923,1.1395148628950118,0.5884
67,0.3005198278166354,0.89196,1.1511669039726258,0.5826
68,0.30449780615977945,0.89128,1.1325798362493515,0.5914
69,0.29255830972641705,0.8945,1.1290553426742553,0.5933
70,0.29809000017493964,0.89218,1.1365240025520325,0.591
71,0.30178661651164296,0.89284,1.1457276517152786,0.5865
72,0.2949365637600422,0.89418,1.1235894739627839,0.5954
73,0.29047797797620295,0.8947,1.1191753315925599,0.5966
74,0.29170453947223723,0.89476,1.1118352383375167,0.6009
75,0.28663783652707936,0.8969,1.1244608634710311,0.5944
76,0.28974268032982947,0.89542,1.100025098323822,0.6043
77,0.28968118693679573,0.8964,1.097607226371765,0.6062
78,0.2823665793687105,0.89852,1.0972159349918365,0.6049
79,0.2828734966777265,0.89914,1.0936926317214966,0.6057
80,0.2803716237992048,0.89928,1.0998259037733078,0.6012
81,0.2844856459237635,0.89702,1.0940800666809083,0.6091
82,0.2753627798650414,0.90136,1.0964798545837402,0.6016
83,0.28213615402206776,0.89738,1.0837171375751495,0.6129
84,0.27459368658810857,0.90148,1.0806755083799362,0.6134
85,0.2705685047022998,0.9029,1.0705817145109178,0.6162
86,0.27449001928791406,0.90056,1.0680802655220032,0.6189
87,0.27077823140844703,0.90244,1.082106584906578,0.6124
88,0.26816419189795854,0.90274,1.0633813339471816,0.6162
89,0.27069695825129747,0.90282,1.0537956619262696,0.6269
90,0.26911932294629515,0.9039,1.0708233505487441,0.6139
91,0.2677912441045046,0.90364,1.060462177991867,0.6232
92,0.2630081678926945,0.9043,1.0514837127923966,0.6257
93,0.26729405838623643,0.90298,1.0461471539735794,0.6261
94,0.2635107221528888,0.90468,1.0506150537729264,0.6257
95,0.26244618647918105,0.90442,1.0407889544963838,0.6302
96,0.26634197315573693,0.90532,1.0404038161039353,0.635
97,0.25903527573868634,0.90642,1.027287351489067,0.6324
98,0.2596794981248677,0.90584,1.0319239294528961,0.6339
99,0.2568074253946543,0.9077,1.0216940200328828,0.6355
100,0.256628174552694,0.90774,1.0239981710910797,0.6404
101,0.2561162616312504,0.90776,1.0404911077022552,0.6273
102,0.2556302692722529,0.90828,1.0193092322349548,0.6356
103,0.25396706902980803,0.907,1.0256154465675353,0.6359
104,0.25438479394838215,0.9096,1.0140353804826736,0.6412
105,0.2526342443190515,0.90918,1.0224031740427018,0.6336
106,0.2521100033335388,0.90988,1.0188292008638382,0.6389
107,0.2515880066938698,0.9104,1.010719678401947,0.6407
108,0.24783082730136813,0.91066,1.0149100291728974,0.6427
109,0.25006443180143834,0.90942,1.0061089950799942,0.6438
110,0.24696460766717793,0.90992,1.0052863156795502,0.6466
111,0.24390516512468458,0.91246,0.9974293345212937,0.6446
112,0.2437375645786524,0.91248,0.9995814716815948,0.643
113,0.2446451580421999,0.91292,0.9989883357286453,0.6443
114,0.24454737639427185,0.91202,0.9919511055946351,0.6526
115,0.241155575228855,0.91354,0.9909565210342407,0.6511
116,0.23943527664244174,0.91426,0.9968761527538299,0.6451
117,0.24024453448317945,0.9129,0.9886185842752456,0.652
118,0.24022134585119784,0.91386,0.9963958948850632,0.6492
119,0.23684480175003408,0.91556,0.977712584733963,0.6537
120,0.23734970965050162,0.91526,0.9851372009515762,0.6553
121,0.23762923303060235,0.91342,0.9829808723926544,0.6521
122,0.23232155848667024,0.9162,0.9747555732727051,0.6557
123,0.23230238473974169,0.91504,0.9773902463912963,0.657
124,0.23017294814437628,0.91676,0.976605851650238,0.6575
125,0.23404182919114827,0.91508,0.9737592071294785,0.6567
126,0.23409284324944019,0.915,0.9701327788829803,0.6602
127,0.22907152535021305,0.9173,0.9668114811182023,0.6618
128,0.23210982139781117,0.91724,0.9655393701791763,0.6604
129,0.2259793255440891,0.919,0.9742657047510147,0.6575
130,0.22774915423430503,0.91806,0.974174987077713,0.6545
131,0.22575545628368854,0.9177,0.9634210091829299,0.663
132,0.22741690390743316,0.91748,0.9613074833154678,0.6638
133,0.2289428309518844,0.91904,0.9646180605888367,0.6596
134,0.22338664801605046,0.91942,0.957790058851242,0.6625
135,0.22452177259884776,0.9187,0.9580323994159698,0.6633
136,0.2239988508131355,0.91936,0.9570724356174469,0.6658
137,0.221499544179067,0.92076,0.9546990871429444,0.6671
138,0.2252021442502737,0.91912,0.9487398034334182,0.6703
139,0.2228271031631157,0.92098,0.9591040343046189,0.6633
140,0.21977542211022227,0.92164,0.9488596028089523,0.6665
141,0.22150909383874387,0.92018,0.957587280869484,0.6617
142,0.21895282005704939,0.92152,0.9442373418807983,0.6719
143,0.2170168492011726,0.92092,0.9475916773080826,0.6715
144,0.21664786388911306,0.92276,0.9595216363668442,0.6665
145,0.21917780190333724,0.92066,0.9425605994462967,0.6718
146,0.21608837865199892,0.92212,0.9496062344312668,0.6655
147,0.21962164844386278,0.92074,0.943140041232109,0.6713
148,0.21747167723439634,0.92166,0.9468571239709854,0.6672
149,0.21351628411188722,0.9231,0.9401732784509659,0.6787
150,0.2104454048788175,0.9236,0.9390917444229125,0.6708
151,0.21555553026497365,0.92218,0.9372520262002945,0.6739
152,0.21630487219709904,0.92168,0.9386793929338455,0.6702
153,0.2111983712911606,0.92268,0.9380642628669739,0.6714
154,0.2127628327626735,0.92376,0.9319453299045563,0.6755
155,0.2130230241268873,0.92324,0.927936179637909,0.678
156,0.20875105062499644,0.9252,0.9254834413528442,0.6749
157,0.20953025630861521,0.9248,0.9300584036111832,0.6769
158,0.20909382884576916,0.92496,0.9278326904773713,0.6734
159,0.21006202871352433,0.92464,0.9239202409982681,0.6783
160,0.20883847370743752,0.92484,0.9213035088777543,0.6772
161,0.20567243464291096,0.92538,0.9184140336513519,0.6751
162,0.20883622995018958,0.92446,0.918672947883606,0.6811
163,0.2052393845850602,0.92532,0.9317844706773758,0.6748
164,0.2042330071479082,0.9264,0.9259823107719422,0.6769
165,0.20436639325413852,0.9267,0.9262152916193008,0.6768
166,0.2042170955557376,0.92626,0.9156910651922225,0.6843
167,0.20253782702982426,0.92578,0.9206049299240112,0.6795
168,0.20170043824892492,0.92686,0.9185781735181808,0.6787
169,0.2033734421133995,0.92638,0.9169398826360703,0.6809
170,0.20118317407928407,0.92738,0.9173690438270569,0.6794
171,0.19944555252790452,0.9286,0.9088393831253052,0.6855
172,0.19927085824590177,0.92876,0.9244694256782532,0.6763
173,0.20064006469119341,0.92798,0.9109551495313645,0.6816
174,0.2008110122103244,0.92822,0.9123851943016053,0.6813
175,0.19700049238279463,0.92772,0.912531522512436,0.6817
176,0.19828946047276258,0.92924,0.9161579710245132,0.682
177,0.20115568711888046,0.92684,0.911219928264618,0.6835
178,0.19698978573735804,0.9292,0.9178319138288498,0.6768
179,0.19874832762405276,0.92768,0.9053371298313141,0.6818
180,0.1974668343178928,0.92824,0.9078048646450043,0.6849
181,0.19607329173758625,0.9294,0.9030635887384415,0.6849
182,0.19676065288856626,0.9294,0.9047345584630966,0.6824
183,0.19220431424863638,0.9312,0.9020417213439942,0.6827
184,0.19231724588386714,0.93066,0.8990361028909684,0.6857
185,0.19319648909755052,0.93112,0.910149142742157,0.6822
186,0.19365953197609634,0.93146,0.8888773316144943,0.6915
187,0.19463493686635047,0.92826,0.8998022550344467,0.6881
188,0.1933702618330717,0.93068,0.9027440494298935,0.6852
189,0.1934825064362958,0.93132,0.891257011294365,0.691
190,0.19042815137933938,0.93076,0.895327690243721,0.6893
191,0.19108714694809167,0.9317,0.9020931398868561,0.6862
192,0.19048802115116267,0.93274,0.8926902228593826,0.6918
193,0.18840886523295194,0.93182,0.9044285148382187,0.6848
194,0.18624123995378614,0.93268,0.8883875924348831,0.6918
