round,train_loss,train_accuracy,test_loss,test_accuracy
1,1.6605811424851418,0.34002,2.2328792572021485,0.2336
2,1.6126143109798432,0.38528,2.275531826019287,0.1406
3,1.552861770927906,0.39786,1.8936105382442474,0.3058
4,1.4772157306671143,0.43798,2.044398989677429,0.2566
5,1.3498784341812133,0.48016,1.7730687391757964,0.3696
6,1.399417030096054,0.47698,2.0862675857543946,0.2592
7,1.309585917621851,0.49824,2.0801514303684234,0.3352
8,1.4713461189270018,0.47406,2.1266234850883485,0.2509
9,1.278452398121357,0.50606,1.8745568633079528,0.3565
10,1.3357099111676216,0.49918,1.849597338438034,0.3692
11,1.1702052980661393,0.546,1.7564981627464293,0.3995
12,1.2459100242853165,0.5283,1.8753976809978485,0.3827
13,1.1262019280493258,0.57032,1.641512749195099,0.4428
14,1.1712736886143684,0.56128,1.7885790085792541,0.4064
15,1.0889326428472996,0.58292,1.7331874692440032,0.4444
16,1.1311402270197868,0.5738,1.7447204542160035,0.4187
17,1.0544820840060711,0.59972,1.8613882565498352,0.4302
18,1.0605485478043557,0.602,1.6194526386260986,0.4357
19,1.0149378551244737,0.61376,2.3320934092998504,0.361
20,1.0793371285498141,0.60166,1.6657234740257263,0.4005
21,0.9935318644195795,0.62302,1.8340237164497375,0.435
22,1.0796156525313854,0.60612,1.5903606867790223,0.4334
23,0.9714919191747904,0.63292,1.7858140408992766,0.4661
24,0.9888268663585186,0.63046,1.6701753103733064,0.3876
25,0.9466194993555546,0.64286,1.9670008945465087,0.4138
26,0.9907395660579205,0.63398,1.8035173952579497,0.3536
27,0.9328009990304709,0.65274,1.9344286239147186,0.4025
28,0.9432034925371409,0.65184,1.8610783839225769,0.3713
29,0.9186924065053463,0.65692,1.887125037908554,0.4033
30,0.911392750158906,0.66446,1.6801054048538209,0.4348
31,0.886395374238491,0.66888,1.8265979969501496,0.4148
32,0.8901099417060614,0.6713,1.8177075779438019,0.4087
33,0.8669165689572692,0.68028,1.930920491218567,0.4265
34,0.87956728926301,0.6772,1.693694795370102,0.4373
35,0.8410306764394044,0.686,1.7458753705024719,0.4705
36,0.8606427900791168,0.68184,1.732470188140869,0.4395
37,0.8224473889470101,0.69534,1.7756566107273102,0.4783
38,0.8448833262845874,0.69192,1.581549994945526,0.4732
39,0.8003717007637023,0.70616,1.7346159636974334,0.4865
40,0.833254200398922,0.69772,1.577035255432129,0.4765
41,0.7975947226434946,0.70418,1.8078353321552276,0.4675
42,0.8234327467232943,0.70322,1.464923814535141,0.51
43,0.7893904210925102,0.70988,1.762550768852234,0.4783
44,0.803499317958951,0.70938,1.4199842953681945,0.5068
45,0.7679990245997905,0.71756,1.74319363117218,0.4812
46,0.7961650035083294,0.71256,1.627619718313217,0.4587
