round,train_loss,train_accuracy,test_loss,test_accuracy
1,1.8680732741355897,0.2741,2.302977769374847,0.1
2,1.7780854707956315,0.27444,2.3022796583175658,0.1124
3,1.7393374531269072,0.27798,2.299140510559082,0.1405
4,1.7433699976205825,0.2853,2.284695014953613,0.1537
5,1.6854159133434297,0.30778,2.1514405632019042,0.2203
6,1.5950713106393815,0.3631,2.058149039745331,0.2413
7,1.5524624184370042,0.38034,2.0280069398880003,0.246
8,1.527120796442032,0.38918,1.9934365630149842,0.2612
9,1.5516320309638978,0.3794,2.0077433085441587,0.2633
10,1.5125426021814345,0.39836,1.963564953804016,0.2735
11,1.5134157680273057,0.3855,1.9517316222190857,0.2688
12,1.4649050462841988,0.41934,1.8984382903575898,0.279
13,1.443132396519184,0.4224,1.8549380314350128,0.3102
14,1.4345510475039482,0.42342,1.8728867959976196,0.2945
15,1.4466474744081497,0.40702,1.8707640409469604,0.2961
16,1.4092515986561776,0.43674,1.8369568622112273,0.2906
17,1.4119698675870895,0.43508,1.7615378153324128,0.3523
18,1.3552502022087574,0.45934,1.7103723227977752,0.3674
19,1.3332992976903915,0.47182,1.724294204711914,0.3531
20,1.3063897529542445,0.48216,1.6666265976428987,0.378
21,1.3095462691187858,0.4821,1.6300579106807709,0.4003
22,1.2733198558688164,0.49618,1.5974789690971374,0.4122
23,1.3068116580843925,0.47942,1.630417753458023,0.4085
24,1.2693153771460057,0.49584,1.5855077719688415,0.4126
25,1.2917662428617478,0.4936,1.5958229303359985,0.4253
26,1.2340939199626446,0.5125,1.529667491912842,0.4333
27,1.2187011218965054,0.51662,1.5029718732833863,0.4442
28,1.2504950115978717,0.5046,1.518859394788742,0.4509
29,1.2163920806348323,0.51794,1.5369662284851073,0.434
30,1.204370758086443,0.5249,1.4713087821006774,0.4585
31,1.2070916395783424,0.52472,1.5043364179134369,0.4535
32,1.2035597158670426,0.52956,1.4970883798599244,0.4539
33,1.1670939429700375,0.53908,1.4443181359767914,0.4681
34,1.1854265672266484,0.5346,1.4465298640727997,0.4714
35,1.157597277969122,0.54434,1.4330923557281494,0.4742
36,1.1588333041965961,0.5454,1.4292812693119048,0.4845
37,1.1521734175086022,0.54758,1.4187435817718506,0.4816
38,1.1398208105266094,0.55316,1.3928931725025178,0.4946
39,1.1479953218102454,0.55116,1.3911494052410125,0.4975
40,1.1228862619102,0.55782,1.3716517794132232,0.5006
41,1.1266702223718166,0.55642,1.3768478786945344,0.4992
42,1.1527703587710858,0.55132,1.38181529045105,0.5032
43,1.1013693341314792,0.56842,1.3596100306510925,0.5065
44,1.102114273250103,0.56856,1.335815932750702,0.5146
45,1.086563512802124,0.575,1.3253954982757568,0.5197
46,1.085955049455166,0.57204,1.3282528519630432,0.5201
47,1.0715849618017674,0.57664,1.3046789920330049,0.5244
48,1.0973157955408097,0.57316,1.307760261297226,0.531
49,1.069607355594635,0.5815,1.2932347166538238,0.5324
50,1.058899009168148,0.5883,1.2722131681442261,0.5402
51,1.061269549280405,0.58494,1.2683589196205138,0.5447
52,1.0512371248304844,0.5883,1.2689961314201355,0.5399
53,1.050800020247698,0.59066,1.283863891363144,0.5394
54,1.0352389349937439,0.59934,1.2660485374927521,0.544
55,1.0289051953852177,0.59836,1.2390965819358826,0.5572
56,1.0233508391678334,0.6029,1.2504414868354798,0.5506
57,1.017897262468934,0.60512,1.2306308221817017,0.5587
58,1.0210639145225286,0.6029,1.2266688251495361,0.5604
59,1.0073311906456948,0.6097,1.2141520881652832,0.5647
60,1.0074453840106725,0.61046,1.2036683905124663,0.5702
61,0.9966301693171262,0.61592,1.1971044087409972,0.571
62,0.9887226426005363,0.61578,1.1894681471586228,0.5766
63,0.9866590042114258,0.62088,1.1856403154134751,0.5766
64,0.9893377061784268,0.62074,1.179060183763504,0.5808
65,0.963803340613842,0.62818,1.174983994960785,0.5817
66,0.9676838105767965,0.62718,1.1827541637420653,0.5799
67,0.9698910497575999,0.62972,1.1595237916707992,0.5888
68,0.9705413117110729,0.62964,1.154459176659584,0.5909
69,0.9448471679091454,0.63952,1.144467329978943,0.5966
70,0.9548751224577426,0.63546,1.1467569422721864,0.5944
71,0.9478523852080106,0.63632,1.1487943089008332,0.5957
72,0.958163872808218,0.63434,1.1427012473344802,0.5993
73,0.9304622750133276,0.64356,1.1142022401094436,0.6053
74,0.9253891136944294,0.64414,1.1075128895044326,0.6084
75,0.9306391053795815,0.64484,1.106076134443283,0.6088
76,0.9132121626287699,0.64878,1.0967006444931031,0.6119
77,0.9101960359811783,0.64992,1.0912938737869262,0.6164
78,0.9065009753257036,0.65246,1.0914257538318635,0.6104
79,0.9067439285963774,0.65394,1.0846101242303847,0.6176
80,0.8940064413994551,0.65792,1.0707896554470062,0.6207
81,0.8902053662091494,0.66014,1.0670874720811845,0.626
82,0.8835282627493143,0.66106,1.0582038152217865,0.6282
83,0.8902750860080123,0.66308,1.0527251744270325,0.6282
84,0.8723565544933081,0.66654,1.047777895927429,0.6285
85,0.8787015646398068,0.66612,1.041045724749565,0.6324
86,0.8713400473445654,0.668,1.0493129229545592,0.6326
87,0.8653197436481714,0.66806,1.0361978614330292,0.6328
88,0.8736786763966083,0.6678,1.0330732351541518,0.6347
89,0.8494389588981867,0.6781,1.0185424518585204,0.6389
90,0.8544815568625928,0.67662,1.0184295463562012,0.6402
91,0.847187426224351,0.67714,1.016857048869133,0.638
92,0.8515806052982807,0.67734,1.0267661571502686,0.6399
93,0.846769654929638,0.67956,1.0012337452173232,0.648
94,0.8457445554733276,0.67858,1.0005837815999985,0.6467
95,0.8305405369251967,0.68576,1.0042992329597473,0.6462
96,0.8393671940267086,0.68262,1.0037874335050583,0.6449
97,0.8226534669473767,0.68552,0.9893774062395095,0.6513
98,0.8436802738457918,0.68316,0.9850149077177047,0.6532
99,0.8203483446091413,0.69024,0.9832525837421418,0.6543
100,0.8239070058465005,0.68752,0.9741472327709197,0.6561
101,0.805598722808063,0.69432,0.9682442998886108,0.6584
102,0.8044010912552476,0.69472,0.9622128736972809,0.6565
103,0.8021351916715502,0.69678,0.962320545911789,0.6619
104,0.7980820187330246,0.6974,0.9583542621135712,0.6595
105,0.7981274026036262,0.6973,0.9521228259801865,0.6612
106,0.8057831893861294,0.69606,0.954216661453247,0.664
107,0.7927585689723492,0.69924,0.9493127757310867,0.6616
108,0.7923865220248699,0.70122,0.938531551361084,0.6691
109,0.7802053207755089,0.70578,0.9358217257261277,0.6702
110,0.7787074275761843,0.70846,0.9330427902936935,0.67
111,0.7805764519050717,0.70494,0.9270734792947769,0.6728
112,0.7797522337436676,0.70702,0.9296109074354172,0.6713
113,0.7760299614444375,0.70924,0.924361025094986,0.6736
114,0.7666618442758918,0.71078,0.918137190937996,0.6769
115,0.7616666639074683,0.71188,0.9189496868848801,0.6763
116,0.7620261233150959,0.71322,0.9155350154638291,0.6769
117,0.7583681094199419,0.71426,0.9144472467899323,0.6785
118,0.7602841131091118,0.71474,0.9043719339370727,0.6811
119,0.7550027700439096,0.71716,0.9103169560432434,0.6804
120,0.7486134564429522,0.71754,0.9016520154476165,0.683
121,0.7527433897107839,0.71664,0.8961635625362396,0.6823
122,0.7484081896096468,0.72074,0.8887443715333938,0.6872
123,0.7421731770038604,0.72036,0.8865933692455292,0.6868
124,0.7357753288447857,0.7241,0.8839374935626984,0.6902
125,0.7410288109481334,0.72118,0.8842351764440537,0.6875
126,0.7304669284299016,0.72602,0.8899547177553176,0.6864
127,0.733794878564775,0.72226,0.8704576218128204,0.6929
128,0.7300843364223838,0.72412,0.8729251849651337,0.6923
129,0.7256633740514516,0.72632,0.8726114743947982,0.693
130,0.7294385868459939,0.72652,0.8679540020227432,0.6957
131,0.7177423190101981,0.73078,0.8617122668027878,0.6966
132,0.7124287718757987,0.7317,0.8582437831163406,0.6988
133,0.7179052943214774,0.73022,0.8534035342931747,0.6982
134,0.7154564442448318,0.73174,0.855777405500412,0.6955
135,0.7147206404879689,0.73136,0.853576602935791,0.6984
136,0.7130145194381475,0.73206,0.8563133537769317,0.6953
137,0.7067406890541315,0.73526,0.8447341513633728,0.7018
138,0.7019939585626125,0.73866,0.8521211594343185,0.7005
139,0.6967000127509236,0.73966,0.8437894546985626,0.7037
140,0.6966143723279238,0.73918,0.8425723111629486,0.705
141,0.7010959096029401,0.73668,0.8361243087053299,0.7037
142,0.6908169072568416,0.74216,0.8315171790122986,0.7055
143,0.70028634044528,0.738,0.8373494285345078,0.7054
144,0.6836544826179742,0.74304,0.8390006309747696,0.7063
145,0.6852133380025626,0.74482,0.8254022204875946,0.7117
