round,train_loss,train_accuracy,test_loss,test_accuracy
1,1.0780589366555213,0.70132,3.281073806285858,0.1
2,0.9005605103969574,0.703,2.308957736492157,0.1
3,0.9335290260910988,0.70686,2.5045224094390868,0.1
4,0.7751525459885598,0.70212,2.315911910533905,0.1385
5,0.7535153576731681,0.71528,2.2998030233383178,0.1803
6,0.7149077090919018,0.73176,2.242736737728119,0.1653
7,0.663713000997901,0.75996,2.328109202384949,0.1984
8,0.6637356545329094,0.7557,2.1496007299423217,0.2227
9,0.6302596501857042,0.78144,2.71576189994812,0.1793
10,0.6737228439301253,0.75528,2.1648633003234865,0.1606
11,0.6242186739742756,0.78688,2.294984759092331,0.1939
12,0.6467087009996175,0.7649,2.1862806248664857,0.2133
13,0.5958490090668201,0.79434,2.3756840527057648,0.182
14,0.6528560019284487,0.76598,2.2164176082611085,0.1615
15,0.5856155994683504,0.79488,2.1568368232250212,0.2341
16,0.5690523715764284,0.7991,2.069574091434479,0.2146
17,0.5340699776113034,0.81372,2.379465333223343,0.2054
18,0.6090474038720131,0.79486,2.171971371173859,0.1848
19,0.5296565982997418,0.81926,2.067754591703415,0.2207
20,0.5423192332834005,0.8112,2.1242709517478944,0.2023
21,0.4978266773819923,0.82594,2.4133270812034606,0.1731
22,0.5262627625316382,0.81944,2.237395255565643,0.2173
23,0.4918592940792441,0.83034,2.221722893714905,0.2098
24,0.4865533870831132,0.82836,2.4728205895423887,0.2395
25,0.4756068311333656,0.83578,2.157130855321884,0.1963
26,0.47027836448699234,0.83482,2.172620186805725,0.26
27,0.4521509605273604,0.8425,2.416320447921753,0.1824
28,0.45909832601994277,0.84026,2.089907546043396,0.2807
29,0.44636302917450665,0.8468,2.2439222776889802,0.1975
30,0.4381507607288659,0.84466,2.215499019622803,0.2622
31,0.4401768597923219,0.84638,2.2065867912769317,0.2534
32,0.443472123272717,0.8438,2.0530713963508607,0.286
33,0.42346090263873337,0.85042,2.306837104558945,0.2729
34,0.43590874698758125,0.84842,2.2704892587661742,0.2369
35,0.43282404252141715,0.85024,2.1136542594432832,0.3032
36,0.4178386261984706,0.85544,2.3015264976024628,0.2505
37,0.42115618791431186,0.85416,2.0207701253890993,0.3007
38,0.40781277340650557,0.85656,2.0867223238945005,0.2871
39,0.4093390932455659,0.8575,2.1049642682075502,0.2858
40,0.4050057377293706,0.85872,2.2581319189071656,0.2727
41,0.40837562350183726,0.85932,2.0392386782169343,0.3215
42,0.39701548498868944,0.86242,2.3638820171356203,0.2413
43,0.4047151830866933,0.85986,1.8995102775096893,0.3609
44,0.3925364171117544,0.86322,2.0709528052806854,0.2807
45,0.3779887367784977,0.8673,1.8794225919246674,0.3789
46,0.39533384912088515,0.86332,2.1858059799671175,0.2508
47,0.3716695896908641,0.87028,1.888933025598526,0.365
48,0.38288117811456324,0.86776,2.084941599369049,0.2536
49,0.3734720704331994,0.86888,1.7300597620010376,0.3804
50,0.37156659925729035,0.86936,1.9831377673149109,0.2653
51,0.3628516682945192,0.87144,1.8034503960609436,0.3583
52,0.36267718704417345,0.87424,2.2503041100502013,0.2466
53,0.3706723152026534,0.87216,1.8790717756748199,0.3491
54,0.3567029149569571,0.8768,2.3606551337242125,0.2545
55,0.3636396490707994,0.87462,1.9583142828941345,0.3456
56,0.3511664421968162,0.87962,2.4614627313613893,0.2379
57,0.3641828012354672,0.87756,2.0807207548618316,0.3269
58,0.3478974222317338,0.88146,2.2541872799396514,0.3108
59,0.35359631921350954,0.88048,1.9710793745517732,0.3606
60,0.33386609076708557,0.88492,2.2197112369537355,0.3162
61,0.3503486462645233,0.88106,1.9248731660842895,0.3559
62,0.33935585717484357,0.8837,1.7775820326805114,0.3929
63,0.3306574943214655,0.88436,1.9476788103580476,0.356
64,0.32582075990736487,0.88738,1.964971625804901,0.3536
65,0.3299240559544414,0.8852,1.9082599449157716,0.3551
66,0.3288172170855105,0.88736,1.7371606254577636,0.3954
67,0.3264824283011258,0.88652,1.7879649353027345,0.3833
68,0.31434109531901777,0.89056,1.9505482733249664,0.3289
69,0.3187673448789865,0.88904,1.9500936245918274,0.3732
70,0.3195659622326493,0.89038,1.9195268094539641,0.3401
