round,train_loss,train_accuracy,test_loss,test_accuracy
1,2.1523239772319793,0.1624,2.302771406173706,0.1
2,2.086475691318512,0.1644,2.301411199569702,0.1115
3,2.057574599266052,0.16762,2.296756081581116,0.1
4,2.0394276764392854,0.18614,2.2527330183982848,0.1769
5,1.9570134251117706,0.2352,2.0950037372112273,0.2165
6,1.8832364392280578,0.27036,2.040393637418747,0.2463
7,1.856859996318817,0.27816,2.017387911081314,0.2529
8,1.835529914855957,0.29046,1.9898182845115662,0.2616
9,1.8044644310474396,0.30696,1.947626348733902,0.2927
10,1.7859851191043854,0.31312,1.9246487426757812,0.3127
11,1.761023773431778,0.32582,1.8656709599494934,0.3223
12,1.7411067445278168,0.33696,1.8504184341430665,0.3445
13,1.710383651971817,0.3497,1.787240754365921,0.3611
14,1.6818807485103606,0.3619,1.7465125238895416,0.3767
15,1.6608928427696228,0.3707,1.7384307885169983,0.3828
16,1.636262345314026,0.3805,1.7007159996032715,0.3882
17,1.6066565022468566,0.39166,1.6527959072589875,0.4077
18,1.5966829969882965,0.39584,1.6361306965351106,0.41
19,1.5774833568334579,0.40316,1.616028459072113,0.4181
20,1.5553588659763335,0.40842,1.5904355442523956,0.4223
21,1.5444725216627122,0.41614,1.5571009242534637,0.436
22,1.5234206124544143,0.42398,1.5644662618637084,0.4337
23,1.5090063437223435,0.42886,1.551268949508667,0.4382
24,1.490213688969612,0.43516,1.5123334741592407,0.4499
25,1.4883284422159195,0.43634,1.4966930913925172,0.4519
26,1.465787317276001,0.4488,1.481286209821701,0.4567
27,1.4639712225198747,0.44642,1.477236567735672,0.4632
28,1.4466454349756241,0.45382,1.4648121690750122,0.4642
29,1.4328362572193145,0.46388,1.4515245389938354,0.4674
30,1.4285378613471984,0.46246,1.437118924856186,0.4749
31,1.4321361536979675,0.46168,1.4340709376335143,0.4752
32,1.409769236922264,0.4695,1.4121309053897857,0.4788
33,1.3913051756620407,0.47714,1.4095671880245209,0.483
34,1.3798547884225845,0.48202,1.3950548362731934,0.4873
35,1.3768386532068253,0.48176,1.3940184271335603,0.4944
36,1.3663602575063705,0.48654,1.377458904981613,0.4981
37,1.3505766875743865,0.4928,1.3863457715511323,0.4932
38,1.3459784256219864,0.49666,1.365899428129196,0.499
39,1.3346016997098922,0.50282,1.354007169008255,0.5102
40,1.3304604378938676,0.50166,1.3417457962036132,0.5138
