round,train_loss,train_accuracy,test_loss,test_accuracy
1,1.868131322979927,0.27364,2.303341631889343,0.1027
2,1.754624767065048,0.27514,2.3023679757118227,0.1314
3,1.7260402619838715,0.2786,2.3003131532669068,0.1327
4,1.7027648539543152,0.28302,2.2847577476501466,0.1283
5,1.6696674964427949,0.30932,2.182917068004608,0.2084
6,1.5824981301426888,0.35742,2.0706234419345857,0.2152
7,1.550924328327179,0.37874,2.0434833931922913,0.2329
8,1.515889299929142,0.38512,2.0085998153686524,0.2315
9,1.5128930146098136,0.39066,1.998161519765854,0.2433
10,1.481685547053814,0.40454,1.9675890123844146,0.2522
11,1.4737594286203384,0.40834,1.9325695097446443,0.259
12,1.4380586811304092,0.42214,1.915687667131424,0.2592
13,1.4298958889842033,0.42118,1.8927438569068908,0.2663
14,1.4273456231951713,0.4236,1.909919263124466,0.2672
15,1.3961291267871856,0.4333,1.8450173544883728,0.2882
16,1.3951401391625404,0.44076,1.8369504082202912,0.284
17,1.3629094243049622,0.44956,1.8045911407470703,0.298
18,1.3505429685115815,0.45306,1.7547462642192841,0.3292
19,1.3336654245853423,0.46274,1.720489375591278,0.3499
20,1.3238781133294106,0.4694,1.7157213115692138,0.3414
21,1.3049145881533624,0.47642,1.694960080385208,0.3691
22,1.2864952498972415,0.4843,1.6439071547985078,0.3892
23,1.2860261099338532,0.48486,1.6417334508895873,0.3957
24,1.2770904299020767,0.49322,1.6170577919483184,0.4066
25,1.2534105427861213,0.49622,1.5926791656017303,0.4208
26,1.252207412481308,0.50226,1.5814621996879579,0.4181
27,1.233013886719942,0.50952,1.5750317537784577,0.4196
28,1.22525877186656,0.51278,1.5433704376220703,0.4286
29,1.217520998418331,0.51596,1.5582799232006073,0.4231
30,1.2044999282956124,0.52112,1.529547461271286,0.4409
31,1.1947064994871617,0.52704,1.5299163830280305,0.4347
32,1.195284685254097,0.52864,1.5066377913951874,0.4419
33,1.1791198787093162,0.53,1.5155665469169617,0.4426
34,1.1770996770858764,0.53178,1.4749076783657074,0.4555
35,1.1720537164509297,0.53552,1.4853845894336701,0.4569
36,1.1500514703392983,0.53988,1.4746504986286164,0.4591
37,1.1586828736066819,0.5389,1.4689191329479216,0.4611
38,1.147847125530243,0.54346,1.4486729431152343,0.4647
39,1.1464251066744326,0.54476,1.453222894668579,0.4634
40,1.1360579135417939,0.54858,1.4325304305553437,0.4757
41,1.1280831668972968,0.54934,1.4435634183883668,0.4733
42,1.1243237617015838,0.55368,1.412008318901062,0.4831
43,1.1248422901630402,0.55652,1.4026113915443421,0.4858
44,1.1049410786926745,0.56158,1.3970500028133392,0.4888
45,1.109623614639044,0.55972,1.39700089097023,0.4899
46,1.097014540374279,0.5655,1.4021156561374664,0.4893
47,1.0971281961202621,0.5664,1.365355441570282,0.4998
48,1.096480516731739,0.56712,1.3741782736778259,0.4975
49,1.0911287746727467,0.57044,1.366626648902893,0.4997
50,1.0858828244507313,0.57334,1.3538233494758607,0.5041
51,1.0673847313225269,0.57782,1.3436801660060882,0.5066
52,1.0708060236871242,0.58082,1.3305623567104339,0.5113
53,1.0694708743691443,0.57686,1.3419611108303071,0.5041
54,1.0633330194801092,0.5816,1.3385190784931182,0.5095
55,1.058564161002636,0.5855,1.319365346431732,0.5153
56,1.0595301781892776,0.58292,1.3156205117702484,0.5191
57,1.0494062781333924,0.58884,1.305252445936203,0.5237
58,1.0318933106660844,0.59706,1.2957253444194794,0.5269
59,1.0400406337827444,0.59386,1.278855366706848,0.5323
60,1.0283411344736815,0.59524,1.280899341106415,0.5324
61,1.032988191217184,0.59784,1.2699192035198212,0.539
62,1.0207316794842483,0.60134,1.2639534068107605,0.5388
63,1.0265426592826843,0.6017,1.256609733104706,0.5422
64,1.0158636258989573,0.60414,1.2558473539352417,0.5429
65,1.014125075802207,0.60464,1.2448349976539612,0.5526
66,1.0038894612938165,0.60612,1.2334235632419586,0.5514
67,1.0062244121283292,0.60798,1.2313240003585815,0.557
68,0.9942438312470913,0.613,1.226160659790039,0.5534
69,0.9927528507113457,0.6144,1.2136711597442627,0.5638
70,0.9853145290464163,0.61638,1.2052118760347366,0.5642
71,0.9823558576703072,0.62012,1.2154896128177644,0.5626
72,0.9798181924074888,0.62004,1.1960410374402999,0.5701
73,0.9721802644282579,0.62412,1.189755119085312,0.5703
74,0.9692025899738074,0.62608,1.1808561605215073,0.5741
75,0.9626518045663833,0.62922,1.1938751178979874,0.5737
76,0.9642644788622856,0.62572,1.1713582891225816,0.5802
77,0.9588610175698996,0.63056,1.1733848893642425,0.5799
78,0.9488897888362408,0.63714,1.1532794827222823,0.5867
79,0.9517329187691211,0.631,1.1631096959114076,0.5837
80,0.9390375993400812,0.63622,1.14665973842144,0.59
81,0.9429137936681509,0.63758,1.14245421230793,0.5918
82,0.9372757711410522,0.63908,1.1387585389614105,0.5948
83,0.9279277040809393,0.64342,1.1328505349159241,0.5955
84,0.9253209681063891,0.64444,1.1271667677164077,0.5964
85,0.9218265025019645,0.64712,1.1281205910444259,0.5989
86,0.9329769933074713,0.64178,1.127537494301796,0.5991
87,0.9167219390049577,0.64778,1.1202087461948396,0.6029
88,0.9193240778148174,0.64974,1.1107512873411178,0.6067
89,0.9056054380536079,0.65218,1.1079381859302522,0.6087
90,0.9019572153836489,0.65534,1.107719180583954,0.6091
91,0.9023790697604418,0.65322,1.1039284408092498,0.6085
92,0.8956461359709501,0.65648,1.0959067821502686,0.6088
93,0.8899489580243826,0.66112,1.0922829574346542,0.6084
94,0.8881417906582355,0.65882,1.0804081809520723,0.6162
95,0.885345765478909,0.66492,1.079433455467224,0.6189
96,0.8891207250803709,0.66062,1.0743726986646651,0.6211
97,0.8758515056744218,0.66408,1.0743790751695632,0.6201
98,0.875257353439927,0.66676,1.0588807600736618,0.6208
99,0.870886011749506,0.66766,1.0568579041957855,0.6255
100,0.8659874993413686,0.66894,1.0562690979242324,0.6258
101,0.8675610075816512,0.66968,1.0446733766794205,0.6303
102,0.8624511449933052,0.67034,1.0533211386203767,0.6257
103,0.8526862920671702,0.6735,1.0419172340631484,0.6304
104,0.8630080707669258,0.67368,1.0426972353458404,0.6301
105,0.8508346131891013,0.678,1.04337414085865,0.6322
106,0.8473250071927905,0.67848,1.0380428993701936,0.6312
107,0.8461119219511747,0.67802,1.0436438757181168,0.6325
108,0.8415825517177582,0.68086,1.0216004115343094,0.6384
109,0.8402405237928033,0.68218,1.0231581735610962,0.6371
110,0.8315823284089565,0.68516,1.0130146253108978,0.6397
111,0.8355639552548527,0.68456,1.0155043661594392,0.6384
112,0.8288997089490294,0.6841,1.0070652097463608,0.6434
113,0.8339811644256115,0.68484,1.0094014167785645,0.6421
114,0.8238825917467475,0.68766,1.0041615587472916,0.6447
115,0.814665228664875,0.69022,0.9928882884979248,0.647
116,0.817073460906744,0.69096,0.9951906710863113,0.647
117,0.8137134277671576,0.69338,0.9864513391256332,0.6532
118,0.8112919683754444,0.69332,0.9814639753103256,0.6514
119,0.8114134774878621,0.6942,0.9835748779773712,0.6508
120,0.8079037428796292,0.6941,0.9753993719816207,0.6549
121,0.8037543505653739,0.69514,0.9691931962966919,0.6586
122,0.8044901525974274,0.6962,0.9767066490650177,0.6549
123,0.8023456966802478,0.69828,0.966478037238121,0.661
124,0.8004582991302014,0.69722,0.9681704759597778,0.6558
125,0.789476570378989,0.70274,0.9581726372241974,0.6643
126,0.793030932739377,0.69834,0.963523143529892,0.6591
127,0.7809356918931007,0.70428,0.957259430885315,0.6603
128,0.7836157214641571,0.7047,0.9472133672237396,0.6676
129,0.7843532226085663,0.70618,0.9494130820035934,0.6637
130,0.7838653164282441,0.7055,0.9488403028249741,0.6662
131,0.7745448595061898,0.7073,0.9417865985631942,0.6688
132,0.768350541010499,0.71256,0.939028400182724,0.6691
133,0.7678190177083015,0.711,0.9350710380077362,0.6687
134,0.7716172837279737,0.70952,0.9291989719867706,0.673
135,0.7650053425878286,0.71268,0.9272417438030243,0.6767
136,0.7591161188483239,0.71332,0.9255917876958847,0.6743
137,0.7663168231248856,0.71196,0.9222577083110809,0.6742
138,0.7516776279360056,0.71928,0.916786675453186,0.6791
139,0.7568468041606248,0.71552,0.9143371552228927,0.6808
140,0.7558165289312601,0.71824,0.9122527194023132,0.6788
141,0.7564613193646074,0.71648,0.9136362147331237,0.6797
142,0.7520697610154748,0.71804,0.9086569744348526,0.6797
143,0.7473783061802387,0.71858,0.9030273050069809,0.6846
144,0.7399764264822006,0.7237,0.9011937803030015,0.685
145,0.7440293316841126,0.72084,0.9008258944749832,0.6842
146,0.7410992341414094,0.72286,0.8996624970436096,0.6821
147,0.7415424937307835,0.72292,0.8976254653930664,0.6872
148,0.7350883397758007,0.72504,0.8920173346996307,0.6885
149,0.7333744725063444,0.7258,0.8938782733678817,0.6863
150,0.7269918623641133,0.72774,0.8889687657356262,0.6918
151,0.7274947711080313,0.72964,0.8884904074668885,0.6885
152,0.7256685812473297,0.72544,0.8830167412757873,0.6905
153,0.7286511343568564,0.7284,0.8837182337045669,0.6921
154,0.7195909466408194,0.7309,0.8814404141902924,0.692
155,0.7140037634931504,0.73424,0.8728244572877883,0.6975
156,0.721981019794941,0.73076,0.8739789015054703,0.6941
157,0.713220034532249,0.73378,0.8711063069105148,0.6955
158,0.7112089884355665,0.73584,0.867431406378746,0.6959
159,0.7133736566230655,0.73548,0.8699290508031845,0.6964
160,0.7076270313970745,0.73618,0.8636797565221787,0.6976
161,0.7106302165612578,0.73594,0.8660886144638061,0.6983
162,0.7085357350334525,0.73654,0.8568606513738632,0.7012
163,0.7012281097136438,0.73826,0.8527555966377258,0.7024
164,0.7013656983375549,0.73906,0.8528248566389084,0.7026
165,0.698059677708894,0.74064,0.8502526068687439,0.701
166,0.6946767626181245,0.7402,0.8496266663074493,0.7009
167,0.6978866997659207,0.73784,0.848047423362732,0.7024
168,0.6909075480885803,0.74232,0.8417705368995666,0.7032
169,0.6911338828764856,0.7425,0.8379697388410569,0.7067
170,0.6872713826820255,0.7435,0.8411225360631943,0.705
171,0.6846391133666039,0.74576,0.8346369475126266,0.7063
172,0.6858316503763199,0.7449,0.8371273893117904,0.7046
173,0.6869516790434718,0.74568,0.8326703476905822,0.7088
174,0.6762593157887459,0.74968,0.8289019775390625,0.7097
175,0.6759566712975502,0.74848,0.8318874150514602,0.7093
176,0.6726058185882866,0.74906,0.8282757318019867,0.712
177,0.674879102109,0.7491,0.8239928662776947,0.7116
178,0.6735100717395544,0.75114,0.8221341979503631,0.7111
179,0.6676170639805495,0.7508,0.8195379257202149,0.7131
180,0.6709651301652193,0.75118,0.8204644560813904,0.7141
181,0.663309667095542,0.75282,0.8165410023927688,0.7154
182,0.6626450946815312,0.7568,0.8141871535778046,0.7152
183,0.6649634753838182,0.7549,0.8145186311006546,0.7139
184,0.664294886186719,0.75606,0.812421841621399,0.7148
185,0.6601019800305367,0.7554,0.8094506579637527,0.7169
186,0.6619837256222963,0.7562,0.8034909397363663,0.7201
187,0.6544971924684941,0.75776,0.8037627136707306,0.7201
188,0.6566492258831859,0.75816,0.8097035932540894,0.7153
189,0.6536859907433391,0.7582,0.8027050679922104,0.7204
190,0.6509439257159829,0.7597,0.7987735855579376,0.7214
191,0.6475151242017746,0.75924,0.7958788657188416,0.7208
192,0.6475633533634245,0.75958,0.7995420104265213,0.7214
193,0.6501518793962896,0.76046,0.793682536482811,0.7217
194,0.644847236931324,0.76008,0.7953643333911896,0.7206
195,0.6470292431600392,0.7609,0.7891705894470215,0.7256
196,0.6441605713143945,0.7617,0.7840826743841172,0.7262
197,0.6398618473038077,0.76442,0.7883741849660874,0.7221
198,0.6389356941245496,0.76206,0.7832517236471176,0.7258
199,0.6391843365132809,0.76392,0.7803346765041351,0.7263
200,0.6360086576268077,0.7663,0.7884400361776351,0.7222
201,0.6339906332157552,0.76606,0.7794170480966568,0.7274
202,0.6283059412613511,0.77024,0.7770914441347122,0.7297
203,0.6314414510354399,0.76746,0.7749633914232255,0.7297
204,0.6315839296206832,0.76724,0.7734531474113464,0.7308
205,0.6293169514536857,0.769,0.7710954189300537,0.73
206,0.6253333344981075,0.7685,0.7748712199926376,0.7291
207,0.6230312661454082,0.7691,0.7679692453145981,0.7328
208,0.6218499320857227,0.7714,0.7641618484258652,0.7337
209,0.6260428602546454,0.76858,0.7638935977220536,0.7346
210,0.6228271887302399,0.76924,0.7639825010299682,0.733
211,0.618453615732491,0.77296,0.7602783173322678,0.7345
212,0.624029307026416,0.77166,0.7643698573112487,0.7325
213,0.6116468712463975,0.77352,0.7597846412658691,0.7352
214,0.6180374154411257,0.77454,0.7542090803384781,0.7353
215,0.6088380839265883,0.77556,0.7546967017650604,0.7367
216,0.616911020083353,0.77326,0.7519612467288971,0.7376
217,0.6163355494514108,0.77168,0.7507308852672577,0.7349
218,0.6060172508060933,0.7775,0.7516371804475784,0.7387
219,0.608883397180587,0.77474,0.7467127180099488,0.7405
220,0.6067290834188461,0.777,0.7493756359815598,0.7382
221,0.6047305519357323,0.77598,0.7457716315984726,0.7395
222,0.6051563809625804,0.77688,0.7477149242162704,0.7414
223,0.5977767331041396,0.78082,0.7455130630731582,0.7408
224,0.6042786061055958,0.77938,0.7428112876415253,0.7407
225,0.603782040759921,0.77648,0.7444136571884156,0.7426
226,0.5969644560441375,0.77994,0.7409275382757187,0.7435
227,0.5991101933307946,0.7798,0.7455798554420471,0.7407
228,0.6012207013815641,0.77992,0.7392345774173736,0.7426
229,0.5957152563594281,0.77932,0.7385615104436875,0.7439
230,0.5970862857177853,0.78062,0.736917986869812,0.7435
231,0.5954553503133356,0.7818,0.7393304914236069,0.7405
232,0.5856821987107396,0.78514,0.7299263161420823,0.7473
233,0.5940052455402911,0.78134,0.7282718825340271,0.7474
234,0.596932664912194,0.78074,0.7308266139030457,0.7476
235,0.5854648647867143,0.7849,0.7312232619524002,0.7481
236,0.593940762270242,0.78228,0.7275063520669938,0.7478
237,0.5824972544051706,0.78816,0.7275059419870377,0.7492
238,0.583245994694531,0.7854,0.7274120885133744,0.7501
239,0.5901417236104608,0.78458,0.7221663147211075,0.752
240,0.5827418082412332,0.78614,0.7188705277442932,0.7497
241,0.5817815784104169,0.78664,0.7181161284446717,0.7507
242,0.5802199084609747,0.78972,0.7152625840902328,0.7508
243,0.5769949335884302,0.78846,0.7217270362377167,0.7496
244,0.5777015588860959,0.78744,0.7212270867824554,0.7509
245,0.580632595576346,0.7875,0.7145034086704254,0.7527
246,0.574372829221189,0.79026,0.7187989193201065,0.7504
247,0.5754104317165911,0.79046,0.7149284398555755,0.7531
248,0.5752839010171592,0.78876,0.7156276524066925,0.7523
249,0.5701262202132493,0.79036,0.7090700185298919,0.7564
250,0.5700450490694493,0.79208,0.7148460745811462,0.754
251,0.5673931173197925,0.79214,0.7089692652225494,0.7532
252,0.5682903971932829,0.79074,0.7099389696121216,0.7538
253,0.5637887219265103,0.79464,0.705021156668663,0.7538
254,0.5686453627608716,0.79256,0.7073459392786026,0.7541
255,0.5669151502326131,0.79306,0.7043693476915359,0.7553
256,0.5639391270801425,0.79324,0.7045174688100815,0.7551
257,0.5613399521410465,0.79412,0.7034030020236969,0.7576
258,0.5588334362879396,0.79494,0.7037424612045288,0.7569
