round,train_loss,train_accuracy,test_loss,test_accuracy
1,1.078039616137743,0.70142,2.3031947016716003,0.1
2,1.0769890366196633,0.70588,2.3039457392692566,0.1
3,1.077697334200144,0.69876,2.3045073318481446,0.1
4,1.0630086345076561,0.69406,2.3043401527404783,0.1
5,1.0448411625027656,0.69118,2.302362129688263,0.1
6,1.0183867521882057,0.69056,2.293536922931671,0.1308
7,0.94500580945611,0.70576,2.2144524025917054,0.1853
8,0.830862554460764,0.71418,2.068464159965515,0.2239
9,0.7649878621399403,0.74244,2.033418165445328,0.2288
10,0.7378609037846326,0.74128,2.0318972277641296,0.2356
11,0.7512184307277202,0.7438,1.992910667657852,0.2421
12,0.7086224600076675,0.76112,1.9903467667102814,0.2535
13,0.7413612415790558,0.74484,1.964168246984482,0.26
14,0.7096624201834202,0.75254,1.9936037063598633,0.2399
15,0.701750291839242,0.76454,1.921220712661743,0.2741
16,0.6452674715816975,0.78214,1.9076302695274352,0.2874
17,0.6542353761941194,0.77964,1.8953367674350738,0.2774
18,0.6682264958918095,0.76908,2.0421889388561247,0.2497
19,0.6599085845798254,0.78472,1.8201427209377288,0.3143
20,0.6519547960013151,0.7827,1.79187997341156,0.3128
21,0.6450345693230629,0.79458,1.8037675368785857,0.3161
22,0.6302308091372252,0.79268,1.825574746131897,0.3165
23,0.6176933513581753,0.79942,1.7551751101017,0.3394
24,0.6334710131883621,0.7971,1.7096877706050873,0.3699
25,0.5831838611364365,0.80732,1.7393672132492066,0.3589
26,0.6041029462665319,0.8013,1.6891177654266358,0.3786
27,0.5781954429596663,0.81318,1.6411616897583008,0.3843
28,0.5882549924403428,0.80886,1.6422369647026063,0.3932
29,0.5897489383518696,0.80566,1.693962687253952,0.3789
30,0.5590527969002723,0.81628,1.720894032716751,0.3793
31,0.547643213070929,0.81928,1.6030157017707825,0.4157
32,0.5482006262242795,0.82132,1.5835101532936096,0.4157
33,0.5253510111868381,0.82414,1.6091151916980744,0.401
34,0.5281410669237375,0.82812,1.591961408853531,0.4129
35,0.5644110921770334,0.813,1.6547872459888457,0.4056
36,0.5105773629397153,0.82936,1.6004811692237855,0.4203
37,0.5227914286777378,0.83014,1.6123059868812561,0.4031
38,0.5167303521931171,0.83056,1.5242687106132506,0.4495
39,0.5326313075572252,0.82498,1.5738775110244752,0.4262
40,0.5113438392356038,0.8306,1.5549610352516174,0.428
41,0.5288225427269936,0.82238,1.4756314933300019,0.4695
42,0.5115290053188801,0.83442,1.4831503069400787,0.456
43,0.5093885226696729,0.8324,1.4240528595447541,0.4844
44,0.4854392051100731,0.8412,1.4836341893672944,0.4552
45,0.49357927222549913,0.8382,1.4525010395050049,0.4733
46,0.4762204846143723,0.84398,1.4808840215206147,0.4594
47,0.4866566777676344,0.8386,1.5234965431690215,0.453
48,0.46362426883727315,0.84762,1.3934288609027863,0.4966
49,0.470555208273232,0.8465,1.4025205862522125,0.4953
50,0.46038768408447506,0.84998,1.364875214099884,0.5013
51,0.4984988020285964,0.83878,1.3459989261627197,0.514
52,0.4854527403190732,0.84346,1.3989685893058776,0.502
53,0.4736723502278328,0.84754,1.5792181074619294,0.4377
54,0.472530632764101,0.84536,1.333762538433075,0.5202
55,0.4464271371588111,0.85222,1.3438422214984893,0.5146
56,0.4644068875014782,0.8497,1.330616819858551,0.5146
57,0.44513982492685317,0.85518,1.3347858548164369,0.5171
58,0.43914053900539873,0.85844,1.3403230953216552,0.5097
59,0.4693753188997507,0.847,1.365362913608551,0.52
60,0.47162196499481795,0.84884,1.2863475644588471,0.5411
61,0.4202585633248091,0.86536,1.302295924425125,0.5349
62,0.4346799283027649,0.8572,1.3759167540073394,0.5086
63,0.45605631528049706,0.85368,1.3502791285514832,0.5179
64,0.4104866445362568,0.86696,1.2696205532550813,0.5479
65,0.4135382957533002,0.86518,1.3215711104869843,0.5323
