round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score,confusion_matrix
1,0.7793646744787693,0.73166,2.2623753213882445,0.1651,0.05850081518292427,0.16510000824928284,0.05816974863409996,"[[888, 0, 0, 3, 109, 0, 0, 0, 0, 0], [675, 0, 0, 3, 322, 0, 0, 0, 0, 0], [417, 0, 0, 2, 581, 0, 0, 0, 0, 0], [378, 0, 0, 19, 603, 0, 0, 0, 0, 0], [242, 0, 0, 14, 744, 0, 0, 0, 0, 0], [453, 0, 0, 12, 535, 0, 0, 0, 0, 0], [166, 0, 0, 4, 830, 0, 0, 0, 0, 0], [428, 0, 0, 7, 565, 0, 0, 0, 0, 0], [900, 0, 0, 6, 94, 0, 0, 0, 0, 0], [702, 0, 0, 4, 294, 0, 0, 0, 0, 0]]"
2,0.7165121660828591,0.7458,2.1731940579414366,0.1895,0.1913098394870758,0.18950000405311584,0.10045640915632248,"[[775, 4, 0, 9, 186, 0, 0, 0, 0, 26], [466, 57, 0, 31, 389, 0, 0, 0, 0, 57], [201, 10, 0, 13, 767, 0, 0, 1, 0, 8], [119, 1, 0, 31, 835, 0, 0, 0, 0, 14], [100, 4, 0, 11, 877, 0, 0, 0, 0, 8], [145, 2, 0, 33, 814, 0, 0, 1, 0, 5], [27, 0, 0, 6, 963, 0, 0, 0, 0, 4], [127, 2, 0, 13, 808, 0, 0, 5, 0, 45], [735, 14, 0, 38, 159, 0, 0, 1, 0, 53], [403, 19, 0, 12, 413, 0, 0, 3, 0, 150]]"
3,0.6305018239766359,0.77534,2.093630694150925,0.1946,0.2016320377588272,0.19460000097751617,0.10526224970817566,"[[875, 13, 0, 7, 97, 0, 0, 2, 0, 6], [649, 60, 0, 27, 222, 0, 0, 1, 0, 41], [277, 18, 0, 18, 673, 0, 0, 10, 0, 4], [223, 3, 0, 57, 694, 0, 0, 20, 0, 3], [158, 4, 0, 18, 806, 0, 0, 8, 0, 6], [242, 4, 0, 52, 695, 0, 0, 5, 0, 2], [65, 3, 0, 12, 911, 0, 0, 4, 0, 5], [290, 6, 0, 14, 603, 0, 0, 75, 0, 12], [867, 19, 0, 23, 74, 0, 0, 1, 0, 16], [643, 18, 0, 10, 251, 0, 0, 5, 0, 73]]"
4,0.5951894520670176,0.7846,2.0286163854599,0.2344,0.17616550624370575,0.23439998924732208,0.162502720952034,"[[840, 35, 0, 10, 67, 0, 0, 17, 0, 31], [570, 174, 0, 33, 92, 0, 0, 11, 0, 120], [255, 45, 0, 51, 580, 0, 0, 43, 0, 26], [186, 34, 0, 121, 532, 0, 0, 77, 0, 50], [140, 14, 0, 34, 729, 0, 0, 56, 0, 27], [190, 30, 0, 117, 573, 0, 0, 65, 0, 25], [48, 26, 0, 35, 811, 0, 0, 45, 0, 35], [219, 34, 0, 33, 396, 0, 0, 220, 0, 98], [834, 45, 0, 29, 33, 0, 0, 3, 0, 56], [530, 63, 0, 20, 114, 0, 0, 13, 0, 260]]"
5,0.5831122382879257,0.78904,1.9881886327266693,0.2458,0.23333542048931122,0.24580000340938568,0.17044532299041748,"[[803, 29, 0, 9, 76, 0, 0, 51, 0, 32], [529, 143, 0, 38, 99, 0, 0, 28, 1, 162], [205, 27, 0, 27, 627, 0, 0, 99, 0, 15], [112, 14, 0, 87, 590, 0, 0, 160, 0, 37], [106, 6, 0, 17, 758, 0, 0, 98, 0, 15], [117, 8, 0, 80, 645, 0, 0, 131, 0, 19], [29, 11, 0, 21, 828, 0, 0, 92, 0, 19], [126, 16, 0, 22, 413, 0, 0, 379, 0, 44], [791, 44, 0, 27, 42, 0, 0, 22, 1, 73], [452, 46, 0, 24, 124, 0, 0, 67, 0, 287]]"
6,0.5539889742136002,0.8014,1.9359553122520448,0.2733,0.24143239855766296,0.27330002188682556,0.20576182007789612,"[[754, 79, 0, 9, 69, 0, 0, 42, 2, 45], [374, 362, 0, 30, 46, 0, 0, 17, 6, 165], [188, 53, 0, 37, 599, 0, 0, 102, 2, 19], [93, 41, 0, 131, 524, 0, 0, 163, 1, 47], [102, 18, 0, 33, 725, 0, 0, 100, 0, 22], [89, 28, 0, 98, 622, 0, 0, 136, 2, 25], [19, 28, 0, 40, 785, 0, 0, 95, 0, 33], [103, 40, 0, 31, 375, 0, 0, 380, 1, 70], [664, 145, 0, 30, 29, 0, 0, 18, 37, 77], [320, 169, 0, 24, 81, 0, 0, 44, 18, 344]]"
7,0.5415861629992723,0.80758,1.911957757472992,0.2709,0.24799296259880066,0.27090001106262207,0.21031619608402252,"[[747, 50, 0, 17, 91, 0, 0, 48, 8, 39], [397, 289, 0, 45, 52, 0, 0, 21, 15, 181], [175, 28, 0, 49, 656, 0, 0, 75, 2, 15], [73, 20, 0, 160, 583, 0, 0, 138, 0, 26], [95, 7, 0, 41, 766, 0, 0, 75, 0, 16], [60, 8, 0, 119, 699, 0, 0, 97, 3, 14], [16, 11, 0, 61, 811, 0, 0, 76, 0, 25], [82, 17, 0, 38, 474, 0, 0, 343, 1, 45], [644, 105, 0, 43, 46, 0, 0, 18, 66, 78], [320, 113, 0, 48, 96, 0, 0, 51, 34, 338]]"
8,0.5531581608653069,0.80188,1.884794030189514,0.2937,0.38643866777420044,0.2937000095844269,0.23230646550655365,"[[781, 54, 0, 20, 42, 0, 2, 64, 3, 34], [436, 289, 0, 39, 17, 0, 1, 31, 6, 181], [189, 30, 0, 104, 479, 0, 7, 172, 2, 17], [100, 25, 0, 268, 327, 0, 2, 244, 1, 33], [112, 7, 0, 76, 603, 0, 8, 176, 0, 18], [76, 14, 0, 226, 395, 3, 8, 254, 3, 21], [23, 19, 0, 155, 528, 0, 63, 177, 0, 35], [106, 19, 0, 78, 212, 1, 3, 531, 1, 49], [699, 99, 0, 37, 15, 0, 0, 28, 47, 75], [359, 109, 0, 42, 40, 0, 3, 71, 24, 352]]"
9,0.5114595643877983,0.81528,1.841041065454483,0.3153,0.406307578086853,0.31529998779296875,0.2559605836868286,"[[748, 81, 0, 12, 40, 0, 2, 57, 13, 47], [287, 465, 0, 25, 14, 0, 1, 17, 12, 179], [189, 50, 0, 75, 507, 0, 10, 137, 4, 28], [100, 35, 0, 235, 349, 1, 4, 218, 2, 56], [102, 19, 0, 63, 624, 0, 6, 153, 1, 32], [74, 21, 0, 193, 429, 8, 5, 226, 3, 41], [26, 25, 0, 129, 542, 0, 65, 154, 0, 59], [103, 33, 0, 65, 226, 0, 4, 502, 1, 66], [609, 154, 0, 26, 15, 0, 0, 18, 87, 91], [246, 180, 0, 32, 33, 0, 3, 51, 36, 419]]"
10,0.5106241932809353,0.81656,1.8206694650650024,0.3136,0.3797019124031067,0.31360000371932983,0.2600294351577759,"[[757, 62, 0, 12, 56, 0, 4, 48, 19, 42], [288, 438, 0, 33, 23, 0, 1, 23, 19, 175], [187, 28, 0, 67, 584, 0, 11, 96, 4, 23], [85, 20, 0, 211, 465, 3, 5, 165, 2, 44], [101, 11, 0, 52, 689, 0, 11, 111, 1, 24], [64, 13, 0, 186, 517, 12, 11, 162, 4, 31], [20, 17, 0, 83, 659, 0, 64, 112, 0, 45], [87, 19, 0, 69, 326, 3, 2, 430, 4, 60], [601, 126, 0, 29, 21, 1, 0, 20, 111, 91], [241, 151, 0, 28, 51, 0, 6, 54, 45, 424]]"
