round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score,confusion_matrix
1,1.324966923892498,0.4895,2.163748621940613,0.2312,0.18458223342895508,0.23120000958442688,0.15987041592597961,"[[714, 136, 0, 18, 37, 9, 0, 0, 0, 86], [285, 411, 0, 20, 140, 22, 0, 0, 0, 122], [277, 133, 0, 67, 400, 31, 0, 2, 0, 90], [148, 117, 0, 92, 407, 112, 0, 4, 0, 120], [117, 94, 0, 58, 588, 37, 0, 1, 0, 105], [207, 113, 0, 86, 320, 164, 0, 0, 0, 110], [62, 103, 0, 68, 622, 46, 0, 0, 0, 99], [159, 133, 0, 70, 339, 44, 0, 5, 0, 250], [635, 159, 0, 25, 26, 35, 0, 0, 0, 120], [268, 251, 0, 15, 121, 7, 0, 0, 0, 338]]"
2,1.2180391802191735,0.53104,2.032679433822632,0.262,0.3182121813297272,0.2619999945163727,0.20164547860622406,"[[762, 74, 0, 19, 36, 10, 0, 8, 5, 86], [346, 310, 0, 35, 89, 11, 0, 3, 6, 200], [244, 93, 0, 101, 389, 47, 0, 16, 2, 108], [148, 70, 0, 172, 310, 117, 0, 19, 0, 164], [117, 47, 0, 76, 575, 49, 1, 19, 1, 115], [167, 56, 0, 131, 274, 229, 1, 22, 5, 115], [47, 63, 0, 75, 621, 67, 5, 14, 1, 107], [153, 75, 0, 72, 272, 57, 0, 80, 5, 286], [661, 86, 0, 33, 13, 19, 0, 3, 25, 160], [306, 108, 0, 25, 75, 7, 0, 2, 15, 462]]"
3,1.136634876936674,0.56344,1.9406786966323852,0.3156,0.3651871681213379,0.3156000077724457,0.28360652923583984,"[[484, 42, 0, 22, 44, 79, 20, 85, 40, 184], [112, 246, 0, 42, 58, 53, 82, 38, 25, 344], [104, 38, 1, 69, 428, 112, 121, 81, 3, 43], [18, 11, 0, 90, 342, 240, 113, 123, 3, 60], [41, 11, 1, 33, 586, 86, 122, 67, 4, 49], [24, 7, 0, 57, 334, 392, 75, 73, 4, 34], [4, 6, 0, 34, 412, 80, 371, 57, 0, 36], [22, 13, 0, 45, 362, 132, 40, 282, 4, 100], [305, 51, 0, 30, 20, 98, 11, 33, 111, 341], [63, 52, 0, 37, 68, 33, 57, 68, 29, 593]]"
4,1.1056756299138069,0.58166,1.8451228058338165,0.3369,0.3328537046909332,0.336899995803833,0.30281567573547363,"[[659, 108, 0, 14, 40, 10, 9, 42, 54, 64], [185, 512, 0, 18, 31, 6, 21, 19, 35, 173], [176, 65, 0, 93, 463, 31, 37, 90, 13, 32], [90, 48, 0, 156, 323, 117, 45, 129, 8, 84], [90, 38, 0, 42, 643, 26, 37, 82, 6, 36], [82, 37, 0, 118, 322, 242, 29, 117, 13, 40], [16, 47, 0, 50, 574, 28, 158, 83, 1, 43], [81, 53, 1, 42, 280, 51, 10, 362, 10, 110], [458, 141, 0, 26, 9, 14, 6, 16, 179, 151], [135, 196, 0, 19, 45, 4, 27, 35, 81, 458]]"
5,1.0651915448307991,0.59746,1.7752185404300689,0.3576,0.3569612205028534,0.35760000348091125,0.3235775828361511,"[[684, 97, 1, 20, 36, 8, 9, 42, 50, 53], [193, 523, 0, 23, 23, 5, 12, 15, 29, 177], [170, 61, 0, 135, 447, 37, 24, 82, 11, 33], [78, 41, 1, 294, 225, 116, 21, 131, 6, 87], [90, 31, 0, 76, 620, 26, 28, 90, 4, 35], [70, 28, 0, 205, 243, 276, 17, 112, 11, 38], [14, 36, 0, 128, 532, 26, 132, 79, 1, 52], [74, 41, 0, 84, 221, 74, 5, 397, 5, 99], [482, 130, 0, 32, 8, 13, 3, 16, 173, 143], [147, 190, 0, 30, 35, 6, 19, 24, 72, 477]]"
6,1.0227555919289588,0.60922,1.690170007944107,0.3905,0.4012245237827301,0.390500009059906,0.3681562542915344,"[[597, 93, 5, 16, 33, 7, 13, 28, 152, 56], [92, 539, 0, 9, 18, 8, 22, 13, 102, 197], [158, 47, 13, 115, 433, 50, 56, 72, 22, 34], [69, 38, 12, 238, 206, 153, 76, 95, 14, 99], [71, 28, 5, 54, 612, 33, 63, 81, 20, 33], [61, 20, 1, 161, 223, 333, 41, 98, 19, 43], [13, 34, 2, 80, 443, 30, 285, 51, 3, 59], [59, 37, 1, 75, 216, 87, 16, 390, 17, 102], [289, 118, 0, 25, 7, 12, 8, 13, 399, 129], [76, 185, 0, 18, 18, 4, 38, 21, 141, 499]]"
7,1.0043365832865239,0.62714,1.6434938490390778,0.4059,0.4323577582836151,0.4059000015258789,0.38862335681915283,"[[577, 54, 8, 19, 50, 24, 18, 42, 133, 75], [79, 467, 1, 14, 20, 23, 29, 18, 91, 258], [118, 30, 34, 118, 452, 91, 51, 61, 17, 28], [35, 17, 9, 270, 215, 234, 72, 86, 5, 57], [56, 14, 8, 61, 639, 50, 58, 75, 15, 24], [29, 8, 6, 159, 207, 428, 43, 84, 13, 23], [7, 11, 3, 97, 448, 38, 301, 48, 1, 46], [36, 11, 4, 84, 234, 134, 16, 410, 12, 59], [288, 82, 0, 27, 15, 26, 11, 21, 373, 157], [66, 116, 1, 39, 18, 14, 46, 37, 103, 560]]"
8,1.0251065347790718,0.62002,1.6376377356052398,0.4228,0.4449285864830017,0.4228000044822693,0.40308642387390137,"[[612, 78, 9, 9, 53, 15, 15, 49, 108, 52], [64, 651, 0, 8, 18, 11, 28, 19, 53, 148], [122, 46, 52, 81, 457, 67, 60, 77, 15, 23], [43, 27, 13, 214, 244, 185, 87, 114, 5, 68], [58, 26, 14, 34, 654, 28, 63, 91, 12, 20], [28, 18, 11, 123, 242, 365, 54, 125, 12, 22], [6, 23, 7, 55, 437, 28, 349, 55, 2, 38], [37, 28, 3, 50, 222, 93, 18, 494, 10, 45], [333, 125, 4, 16, 17, 18, 12, 22, 348, 105], [65, 219, 1, 22, 19, 11, 40, 46, 88, 489]]"
9,0.9500820246636867,0.64238,1.5844216203689576,0.4256,0.45554664731025696,0.42559999227523804,0.4048633277416229,"[[646, 95, 12, 12, 51, 3, 10, 36, 86, 49], [59, 707, 2, 7, 19, 1, 18, 20, 42, 125], [130, 50, 73, 83, 470, 31, 43, 81, 12, 27], [51, 37, 25, 254, 272, 95, 67, 120, 4, 75], [68, 32, 22, 34, 675, 11, 42, 89, 9, 18], [39, 19, 26, 153, 261, 268, 40, 157, 11, 26], [8, 30, 15, 45, 504, 11, 292, 54, 1, 40], [42, 34, 9, 43, 209, 52, 14, 541, 6, 50], [364, 144, 7, 17, 22, 5, 7, 20, 312, 102], [66, 250, 4, 15, 20, 4, 31, 43, 79, 488]]"
10,0.9184000869989395,0.6525,1.5531206727027893,0.4436,0.4664536118507385,0.44359999895095825,0.431454598903656,"[[651, 53, 24, 30, 41, 10, 13, 24, 96, 58], [81, 619, 3, 13, 11, 10, 18, 14, 60, 171], [124, 37, 92, 147, 420, 49, 40, 53, 11, 27], [53, 22, 33, 387, 183, 139, 56, 52, 5, 70], [69, 24, 28, 74, 638, 22, 43, 76, 11, 15], [29, 15, 31, 253, 166, 345, 36, 87, 11, 27], [10, 21, 14, 111, 410, 21, 341, 23, 3, 46], [48, 18, 13, 100, 185, 89, 12, 472, 7, 56], [376, 98, 7, 27, 14, 10, 7, 15, 354, 92], [75, 174, 4, 36, 20, 7, 26, 27, 94, 537]]"
