round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score,confusion_matrix
1,1.3238390873074533,0.4896,2.228322989940643,0.2248,0.175432026386261,0.2248000204563141,0.14142444729804993,"[[645, 117, 0, 8, 61, 0, 0, 0, 0, 169], [218, 378, 0, 16, 173, 2, 0, 0, 0, 213], [233, 100, 0, 18, 498, 1, 0, 0, 0, 150], [141, 99, 0, 65, 529, 6, 0, 0, 0, 160], [96, 59, 0, 25, 680, 0, 0, 0, 0, 140], [226, 109, 0, 78, 429, 21, 0, 0, 0, 137], [35, 77, 0, 32, 711, 2, 0, 0, 0, 143], [135, 104, 0, 29, 420, 0, 0, 0, 0, 312], [527, 151, 0, 17, 56, 2, 0, 0, 0, 247], [194, 190, 0, 9, 147, 1, 0, 0, 0, 459]]"
2,1.2049991581439972,0.5318,2.079835817813873,0.2431,0.23272958397865295,0.24310000240802765,0.1628536581993103,"[[514, 132, 0, 22, 79, 1, 0, 0, 0, 252], [96, 425, 0, 24, 177, 2, 0, 0, 0, 276], [131, 80, 0, 37, 608, 1, 0, 0, 0, 143], [59, 57, 0, 90, 621, 10, 0, 0, 0, 163], [46, 42, 0, 18, 776, 0, 0, 0, 0, 118], [90, 59, 0, 116, 574, 35, 0, 0, 2, 124], [5, 45, 0, 22, 832, 0, 0, 0, 0, 96], [43, 71, 0, 37, 538, 3, 0, 0, 0, 308], [369, 177, 0, 40, 52, 1, 0, 0, 2, 359], [87, 151, 0, 12, 159, 0, 0, 0, 2, 589]]"
3,1.1639159252643585,0.5463,2.0283321630954743,0.2671,0.33839425444602966,0.2671000063419342,0.2071945071220398,"[[679, 38, 0, 79, 71, 1, 0, 21, 1, 110], [302, 233, 0, 101, 131, 6, 3, 10, 0, 214], [149, 35, 0, 209, 520, 7, 4, 15, 1, 60], [58, 10, 0, 313, 442, 43, 0, 48, 0, 86], [70, 9, 0, 125, 711, 5, 2, 18, 0, 60], [58, 7, 0, 329, 427, 107, 1, 16, 1, 54], [11, 7, 0, 152, 751, 11, 5, 16, 0, 47], [59, 13, 0, 160, 435, 28, 1, 118, 1, 185], [575, 51, 0, 108, 29, 6, 0, 5, 12, 214], [230, 54, 0, 72, 130, 3, 0, 15, 3, 493]]"
4,1.1129183563292027,0.57404,1.9475406777858735,0.2997,0.34985196590423584,0.299699991941452,0.24274471402168274,"[[661, 162, 0, 24, 40, 0, 0, 23, 8, 82], [169, 596, 0, 23, 27, 2, 2, 6, 3, 172], [176, 123, 0, 118, 421, 6, 13, 46, 1, 96], [87, 112, 0, 256, 271, 26, 8, 63, 1, 176], [82, 80, 0, 83, 599, 2, 16, 44, 0, 94], [102, 76, 0, 270, 296, 77, 7, 53, 7, 112], [16, 84, 0, 137, 538, 2, 69, 45, 0, 109], [91, 96, 0, 71, 256, 17, 0, 213, 2, 254], [509, 240, 0, 33, 10, 1, 1, 4, 48, 154], [150, 285, 0, 18, 32, 0, 7, 9, 21, 478]]"
5,1.0695525721013546,0.59334,1.8784793841838836,0.3053,0.3650892972946167,0.3052999973297119,0.24374645948410034,"[[726, 97, 0, 29, 53, 0, 0, 22, 21, 52], [251, 500, 0, 26, 33, 0, 0, 6, 17, 167], [180, 72, 0, 133, 513, 1, 4, 39, 6, 52], [99, 51, 0, 292, 350, 3, 2, 64, 4, 135], [97, 38, 0, 63, 702, 0, 7, 43, 1, 49], [95, 41, 0, 330, 385, 25, 3, 47, 9, 65], [20, 51, 0, 124, 663, 0, 27, 37, 1, 77], [108, 52, 0, 84, 350, 6, 0, 244, 2, 154], [570, 146, 0, 39, 12, 1, 1, 10, 82, 139], [216, 202, 0, 22, 44, 0, 8, 11, 42, 455]]"
6,1.0399257089197635,0.60188,1.8183974850177764,0.3587,0.36845630407333374,0.3587000072002411,0.32269564270973206,"[[614, 115, 0, 17, 38, 0, 4, 47, 82, 83], [128, 558, 0, 13, 13, 1, 10, 5, 41, 231], [159, 73, 0, 148, 418, 11, 34, 74, 15, 68], [62, 53, 1, 339, 195, 38, 26, 106, 10, 170], [74, 46, 0, 88, 603, 4, 30, 82, 11, 62], [71, 39, 0, 324, 212, 121, 15, 111, 17, 90], [12, 53, 0, 140, 418, 5, 183, 76, 2, 111], [64, 58, 0, 86, 212, 33, 4, 365, 13, 165], [355, 151, 0, 32, 8, 3, 1, 13, 244, 193], [89, 205, 0, 12, 18, 0, 16, 19, 81, 560]]"
7,1.0105623449385166,0.61514,1.7519845116138457,0.3589,0.48554593324661255,0.3589000105857849,0.3261718153953552,"[[579, 87, 0, 41, 79, 0, 8, 32, 99, 75], [113, 514, 0, 19, 33, 3, 12, 9, 56, 241], [124, 46, 1, 161, 544, 9, 26, 33, 14, 42], [40, 30, 0, 368, 331, 43, 22, 62, 4, 100], [60, 25, 0, 69, 736, 3, 24, 40, 10, 33], [37, 21, 0, 330, 356, 146, 14, 43, 11, 42], [7, 24, 0, 129, 599, 5, 134, 30, 2, 70], [41, 32, 0, 122, 371, 40, 6, 277, 10, 101], [328, 115, 0, 45, 28, 5, 2, 12, 268, 197], [75, 163, 0, 32, 43, 2, 16, 21, 82, 566]]"
8,1.0033881725370883,0.62454,1.7203569054603576,0.3769,0.46287596225738525,0.3769000172615051,0.34720247983932495,"[[556, 122, 0, 29, 75, 2, 8, 41, 77, 90], [56, 648, 0, 8, 28, 6, 11, 8, 30, 205], [108, 51, 5, 124, 553, 28, 31, 41, 13, 46], [31, 40, 0, 288, 330, 81, 36, 79, 5, 110], [52, 38, 2, 53, 732, 10, 28, 46, 8, 31], [29, 24, 0, 213, 369, 218, 25, 65, 11, 46], [6, 34, 0, 67, 600, 10, 183, 32, 2, 66], [36, 42, 0, 75, 351, 62, 8, 317, 6, 103], [297, 163, 0, 30, 25, 10, 5, 12, 244, 214], [42, 224, 0, 20, 38, 4, 17, 26, 51, 578]]"
9,0.9539931602478028,0.6364,1.6976338016986847,0.3708,0.4396982192993164,0.3708000183105469,0.33315926790237427,"[[667, 106, 2, 9, 74, 0, 3, 24, 62, 53], [107, 663, 0, 4, 26, 0, 7, 9, 28, 156], [164, 57, 12, 72, 580, 12, 18, 37, 12, 36], [72, 51, 5, 220, 385, 55, 28, 83, 5, 96], [81, 35, 3, 24, 773, 5, 15, 39, 6, 19], [58, 36, 3, 168, 421, 160, 17, 84, 12, 41], [12, 48, 2, 30, 679, 6, 119, 41, 2, 61], [68, 52, 1, 35, 350, 39, 5, 362, 10, 78], [443, 154, 2, 14, 24, 4, 2, 11, 231, 115], [97, 246, 0, 8, 38, 2, 14, 23, 71, 501]]"
10,0.9467277749478817,0.6439,1.6513559019565582,0.3956,0.45565328001976013,0.39559996128082275,0.3711833655834198,"[[655, 66, 7, 27, 69, 4, 7, 17, 80, 68], [117, 545, 1, 11, 24, 9, 9, 9, 44, 231], [141, 41, 28, 138, 516, 27, 21, 35, 11, 42], [50, 27, 8, 353, 282, 92, 30, 52, 4, 102], [75, 24, 5, 62, 721, 11, 25, 42, 7, 28], [39, 16, 5, 281, 292, 237, 21, 59, 9, 41], [9, 23, 4, 92, 551, 13, 207, 29, 2, 70], [52, 27, 3, 105, 285, 69, 6, 362, 8, 83], [420, 103, 3, 25, 24, 8, 3, 11, 267, 136], [95, 155, 0, 28, 29, 4, 16, 20, 72, 581]]"
