round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score,confusion_matrix
1,1.8721242045164108,0.27412,2.303032455444336,0.1,0.009999999776482582,0.10000000149011612,0.01818181946873665,"[[0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0]]"
2,1.7949641243219376,0.27422,2.302361614704132,0.1197,0.06559232622385025,0.11969999969005585,0.04190675914287567,"[[15, 0, 5, 0, 717, 0, 0, 0, 263, 0], [0, 0, 6, 0, 830, 0, 0, 0, 164, 0], [2, 0, 0, 0, 912, 0, 0, 0, 86, 0], [1, 0, 7, 0, 902, 0, 0, 0, 90, 0], [0, 0, 0, 0, 966, 0, 0, 0, 34, 0], [3, 0, 9, 0, 840, 0, 0, 0, 148, 0], [0, 0, 0, 0, 980, 0, 0, 0, 20, 0], [1, 0, 6, 0, 877, 0, 0, 0, 116, 0], [18, 0, 5, 0, 761, 0, 0, 0, 216, 0], [0, 0, 12, 0, 847, 0, 0, 0, 141, 0]]"
3,1.7521417132616044,0.28058,2.3000981187820435,0.0964,0.06954421103000641,0.09640000015497208,0.0345814973115921,"[[569, 0, 0, 0, 0, 0, 0, 0, 431, 0], [505, 0, 0, 0, 0, 0, 0, 0, 495, 0], [710, 0, 0, 0, 8, 0, 0, 0, 282, 0], [658, 0, 0, 0, 2, 0, 0, 0, 340, 0], [840, 0, 0, 0, 13, 0, 0, 0, 147, 0], [576, 0, 0, 0, 0, 0, 0, 0, 424, 0], [841, 0, 0, 0, 3, 0, 0, 0, 156, 0], [568, 0, 0, 0, 0, 0, 0, 0, 432, 0], [618, 0, 0, 0, 0, 0, 0, 0, 382, 0], [493, 0, 0, 0, 0, 0, 0, 0, 507, 0]]"
4,1.7367082052230836,0.2835,2.285591583251953,0.147,0.06970856338739395,0.1469999998807907,0.06544759124517441,"[[89, 2, 0, 0, 59, 0, 0, 0, 850, 0], [85, 17, 0, 0, 90, 0, 0, 0, 808, 0], [111, 8, 0, 0, 320, 0, 0, 0, 561, 0], [149, 15, 0, 0, 253, 0, 0, 0, 583, 0], [114, 6, 0, 0, 497, 0, 0, 0, 383, 0], [98, 2, 0, 0, 183, 0, 0, 0, 717, 0], [130, 6, 0, 0, 500, 0, 0, 0, 364, 0], [54, 6, 0, 0, 195, 0, 0, 0, 745, 0], [100, 0, 0, 0, 33, 0, 0, 0, 867, 0], [47, 5, 0, 0, 94, 0, 0, 0, 854, 0]]"
5,1.7114530302286148,0.3037,2.1817442846298216,0.2258,0.29258427023887634,0.22580000758171082,0.17103853821754456,"[[351, 39, 8, 77, 27, 0, 92, 0, 368, 38], [51, 159, 4, 136, 13, 2, 249, 0, 331, 55], [159, 64, 15, 93, 71, 0, 482, 0, 94, 22], [101, 54, 11, 212, 48, 1, 460, 0, 93, 20], [45, 27, 5, 106, 65, 1, 654, 0, 67, 30], [146, 65, 12, 217, 51, 1, 355, 0, 128, 25], [29, 38, 12, 91, 38, 0, 742, 0, 34, 16], [71, 95, 11, 99, 42, 2, 395, 2, 162, 121], [152, 62, 2, 99, 22, 1, 72, 0, 533, 57], [49, 131, 7, 45, 18, 0, 220, 0, 352, 178]]"
6,1.5961479597091675,0.36616,2.0671504521369934,0.2428,0.2500554919242859,0.24279999732971191,0.1965746134519577,"[[415, 36, 24, 19, 29, 4, 78, 11, 287, 97], [78, 132, 13, 56, 28, 15, 223, 23, 301, 131], [138, 30, 39, 41, 67, 8, 540, 14, 60, 63], [68, 36, 37, 93, 75, 12, 564, 20, 34, 61], [38, 9, 19, 38, 55, 1, 713, 12, 57, 58], [89, 49, 34, 99, 70, 28, 497, 18, 65, 51], [12, 11, 19, 27, 55, 2, 819, 15, 13, 27], [34, 59, 30, 39, 45, 4, 467, 64, 72, 186], [188, 34, 14, 43, 19, 8, 59, 15, 454, 166], [44, 45, 14, 21, 43, 5, 199, 43, 257, 329]]"
7,1.5706711403131486,0.3738,2.038488528728485,0.2452,0.23230844736099243,0.2451999932527542,0.19719159603118896,"[[582, 40, 3, 23, 4, 7, 48, 21, 164, 108], [304, 124, 2, 49, 2, 35, 117, 60, 152, 155], [208, 48, 18, 74, 26, 21, 427, 73, 29, 76], [127, 33, 19, 149, 32, 41, 414, 82, 28, 75], [82, 13, 6, 73, 31, 7, 616, 60, 32, 80], [191, 54, 18, 122, 32, 49, 367, 70, 26, 71], [30, 19, 10, 55, 30, 6, 743, 57, 9, 41], [90, 63, 17, 52, 27, 9, 298, 146, 49, 249], [448, 17, 4, 39, 8, 18, 23, 23, 265, 155], [194, 34, 5, 29, 11, 7, 107, 85, 183, 345]]"
8,1.531946459054947,0.39134,2.009153720140457,0.2597,0.2390848994255066,0.2597000002861023,0.2040812373161316,"[[427, 74, 0, 27, 4, 1, 44, 11, 313, 99], [102, 283, 0, 51, 1, 3, 109, 38, 275, 138], [155, 116, 2, 96, 9, 5, 422, 51, 68, 76], [96, 90, 0, 205, 6, 9, 387, 63, 54, 90], [48, 41, 0, 92, 7, 0, 620, 48, 66, 78], [119, 142, 4, 179, 7, 6, 349, 63, 65, 66], [23, 31, 1, 89, 6, 0, 729, 57, 21, 43], [55, 140, 2, 71, 8, 0, 280, 110, 68, 266], [223, 65, 0, 42, 2, 0, 23, 11, 494, 140], [63, 90, 0, 50, 4, 2, 91, 56, 310, 334]]"
9,1.519365784227848,0.39404,1.9858301424980163,0.2705,0.27072739601135254,0.2705000042915344,0.23257595300674438,"[[364, 85, 1, 21, 11, 5, 39, 24, 294, 156], [63, 309, 2, 46, 13, 17, 91, 54, 240, 165], [125, 87, 16, 86, 64, 21, 384, 71, 63, 83], [59, 72, 9, 191, 70, 24, 341, 96, 51, 87], [30, 25, 3, 79, 58, 4, 593, 67, 57, 84], [67, 112, 10, 165, 60, 46, 318, 83, 60, 79], [11, 27, 2, 70, 68, 7, 688, 72, 12, 43], [26, 112, 8, 66, 74, 11, 222, 173, 48, 260], [167, 68, 3, 48, 7, 5, 17, 20, 464, 201], [40, 90, 1, 47, 33, 3, 62, 87, 241, 396]]"
10,1.4938398630023002,0.407,1.9717639338970185,0.2747,0.2840421795845032,0.27469998598098755,0.24913224577903748,"[[270, 109, 0, 17, 19, 10, 13, 34, 443, 85], [82, 359, 0, 20, 15, 51, 26, 41, 310, 96], [101, 114, 10, 58, 173, 70, 231, 84, 99, 60], [44, 93, 8, 149, 138, 100, 204, 117, 95, 52], [22, 41, 0, 47, 258, 47, 366, 81, 88, 50], [50, 144, 2, 117, 143, 130, 167, 110, 88, 49], [4, 36, 2, 47, 221, 51, 492, 100, 28, 19], [25, 139, 2, 45, 142, 33, 98, 241, 83, 192], [150, 93, 1, 36, 8, 15, 8, 20, 587, 82], [49, 132, 1, 27, 32, 33, 17, 90, 368, 251]]"
