round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score,confusion_matrix
1,0.7792885712087154,0.73154,2.0627038037776946,0.2533,0.2598864436149597,0.2533000111579895,0.21081042289733887,"[[230, 76, 42, 7, 0, 15, 22, 32, 573, 3], [10, 266, 96, 21, 0, 40, 64, 23, 475, 5], [119, 122, 282, 25, 0, 41, 200, 53, 155, 3], [47, 111, 246, 91, 0, 94, 195, 66, 150, 0], [25, 75, 297, 45, 0, 33, 350, 58, 111, 6], [23, 97, 219, 67, 0, 127, 160, 54, 253, 0], [18, 84, 219, 25, 0, 36, 532, 40, 45, 1], [34, 141, 222, 31, 0, 46, 109, 225, 184, 8], [27, 101, 40, 16, 0, 31, 6, 12, 764, 3], [7, 278, 115, 6, 0, 15, 48, 49, 466, 16]]"
2,0.6794716629981995,0.76098,1.9107906341552734,0.3136,0.34397947788238525,0.31360000371932983,0.2760942578315735,"[[682, 75, 0, 19, 2, 20, 31, 48, 106, 17], [209, 317, 0, 78, 1, 22, 63, 33, 205, 72], [197, 63, 1, 150, 41, 91, 284, 137, 18, 18], [110, 58, 0, 319, 11, 135, 192, 126, 25, 24], [100, 41, 0, 143, 55, 64, 441, 124, 17, 15], [109, 45, 0, 222, 16, 270, 179, 116, 27, 16], [31, 44, 1, 114, 10, 53, 623, 101, 5, 18], [125, 55, 0, 132, 25, 93, 119, 375, 31, 45], [463, 82, 0, 44, 0, 33, 8, 20, 298, 52], [221, 148, 0, 81, 0, 9, 60, 62, 223, 196]]"
3,0.608763321697712,0.78912,1.8012751460075378,0.3386,0.3545316457748413,0.3386000096797943,0.28351303935050964,"[[386, 71, 0, 3, 0, 62, 41, 154, 216, 67], [45, 369, 0, 12, 0, 44, 66, 56, 220, 188], [84, 38, 2, 7, 0, 97, 401, 326, 28, 17], [12, 20, 1, 15, 0, 221, 334, 344, 12, 41], [36, 24, 0, 6, 0, 70, 518, 299, 24, 23], [11, 18, 0, 7, 0, 345, 241, 343, 17, 18], [4, 16, 0, 1, 0, 41, 732, 178, 3, 25], [19, 18, 0, 0, 0, 104, 140, 655, 16, 48], [148, 74, 0, 8, 0, 90, 21, 55, 452, 152], [42, 128, 0, 3, 0, 35, 83, 105, 174, 430]]"
4,0.598958318606019,0.79616,1.9023655593395232,0.3118,0.3919079899787903,0.3118000030517578,0.27433785796165466,"[[501, 141, 1, 1, 0, 21, 10, 41, 106, 178], [43, 469, 0, 0, 0, 3, 9, 5, 43, 428], [137, 210, 21, 14, 33, 69, 154, 194, 16, 152], [53, 169, 1, 61, 0, 163, 77, 160, 2, 314], [60, 193, 12, 26, 50, 42, 187, 252, 10, 168], [34, 128, 3, 29, 1, 303, 54, 232, 12, 204], [9, 186, 4, 25, 3, 38, 347, 119, 2, 267], [38, 141, 1, 4, 4, 56, 19, 369, 8, 360], [241, 138, 0, 3, 0, 22, 5, 5, 240, 346], [36, 146, 0, 0, 0, 4, 16, 7, 34, 757]]"
5,0.5697289322167635,0.80676,1.667936420440674,0.3822,0.41061270236968994,0.3822000026702881,0.34761691093444824,"[[686, 50, 1, 9, 9, 56, 25, 54, 39, 71], [203, 401, 0, 18, 2, 30, 32, 30, 28, 256], [152, 39, 4, 71, 178, 202, 130, 184, 10, 30], [51, 18, 0, 196, 26, 379, 102, 162, 0, 66], [82, 15, 2, 76, 249, 142, 161, 243, 2, 28], [40, 11, 0, 99, 30, 549, 63, 180, 5, 23], [12, 14, 1, 108, 107, 126, 474, 110, 1, 47], [51, 10, 0, 50, 27, 186, 28, 589, 5, 54], [512, 88, 0, 15, 0, 47, 10, 27, 155, 146], [137, 111, 0, 18, 2, 37, 62, 48, 66, 519]]"
6,0.5808000871241092,0.80432,1.5893777322769165,0.4323,0.4358835220336914,0.43229997158050537,0.4086001515388489,"[[476, 68, 30, 6, 9, 23, 33, 46, 277, 32], [37, 602, 2, 7, 4, 10, 47, 25, 176, 90], [109, 39, 234, 29, 74, 131, 183, 141, 44, 16], [39, 35, 53, 112, 24, 321, 197, 149, 31, 39], [48, 26, 148, 27, 175, 76, 234, 218, 32, 16], [21, 18, 69, 39, 16, 496, 95, 195, 39, 12], [5, 19, 61, 26, 49, 63, 665, 78, 10, 24], [30, 31, 29, 21, 37, 136, 52, 603, 28, 33], [148, 102, 11, 5, 1, 19, 19, 24, 616, 55], [28, 239, 5, 7, 2, 28, 77, 55, 215, 344]]"
7,0.5310888712257147,0.82106,1.5424115800857543,0.4456,0.45426905155181885,0.4456000030040741,0.4238920509815216,"[[497, 110, 33, 13, 10, 32, 40, 26, 199, 40], [25, 705, 2, 14, 5, 15, 48, 12, 72, 102], [108, 51, 123, 71, 95, 165, 266, 82, 24, 15], [36, 30, 21, 239, 14, 341, 208, 66, 11, 34], [50, 32, 53, 56, 202, 124, 334, 117, 20, 12], [20, 20, 33, 88, 19, 571, 135, 79, 25, 10], [3, 19, 22, 58, 23, 69, 748, 28, 4, 26], [26, 34, 12, 59, 45, 231, 71, 468, 11, 43], [176, 147, 4, 15, 1, 21, 28, 17, 514, 77], [31, 282, 4, 20, 4, 39, 81, 31, 119, 389]]"
8,0.5443659880012274,0.8207,1.5176737701892853,0.4425,0.4583249092102051,0.4424999952316284,0.41857463121414185,"[[554, 143, 29, 3, 10, 3, 24, 56, 119, 59], [28, 775, 3, 2, 5, 1, 27, 26, 33, 100], [117, 61, 210, 30, 143, 35, 174, 192, 12, 26], [41, 41, 51, 143, 28, 142, 223, 251, 7, 73], [55, 45, 83, 31, 268, 23, 211, 255, 11, 18], [30, 25, 73, 73, 25, 294, 121, 328, 12, 19], [8, 31, 35, 22, 71, 17, 668, 104, 6, 38], [26, 44, 19, 13, 35, 52, 52, 715, 6, 38], [240, 226, 13, 5, 3, 7, 15, 32, 369, 90], [40, 337, 2, 2, 3, 2, 51, 69, 65, 429]]"
9,0.49713008292764427,0.83196,1.5165176916122436,0.4458,0.4616776704788208,0.4458000063896179,0.42489251494407654,"[[613, 57, 31, 9, 45, 12, 25, 88, 86, 34], [69, 665, 4, 10, 20, 7, 32, 42, 46, 105], [107, 26, 91, 49, 338, 76, 121, 169, 10, 13], [34, 21, 25, 175, 132, 175, 176, 234, 3, 25], [59, 19, 31, 20, 503, 32, 126, 192, 9, 9], [18, 15, 27, 72, 117, 355, 101, 279, 8, 8], [9, 15, 14, 24, 242, 17, 569, 90, 2, 18], [25, 13, 10, 16, 94, 72, 40, 707, 3, 20], [341, 104, 10, 10, 21, 20, 22, 40, 361, 71], [68, 229, 4, 5, 18, 24, 73, 91, 69, 419]]"
10,0.5205306861028075,0.82712,1.4715346050262452,0.4781,0.48603907227516174,0.4781000018119812,0.47454124689102173,"[[664, 35, 44, 15, 24, 17, 17, 10, 132, 42], [125, 588, 3, 7, 15, 3, 11, 5, 85, 158], [134, 26, 228, 90, 280, 65, 84, 48, 18, 27], [65, 25, 59, 350, 109, 171, 106, 36, 13, 66], [94, 18, 80, 63, 492, 43, 88, 80, 23, 19], [40, 10, 83, 214, 98, 389, 56, 67, 18, 25], [20, 22, 32, 69, 225, 23, 552, 15, 7, 35], [58, 21, 30, 59, 111, 108, 22, 510, 8, 73], [317, 71, 16, 9, 8, 12, 9, 7, 476, 75], [98, 165, 10, 17, 11, 12, 34, 23, 98, 532]]"
