round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score,confusion_matrix
1,1.0821185744404793,0.70312,2.378171100616455,0.1,0.009999999776482582,0.10000000149011612,0.01818181946873665,"[[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
2,0.8319217809140682,0.69642,2.443306624889374,0.1,0.009999999776482582,0.10000000149011612,0.01818181946873665,"[[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
3,0.7981947804689408,0.7005,2.3496979784965517,0.0999,0.010002002120018005,0.09989999979734421,0.018183473497629166,"[[999, 0, 0, 0, 1, 0, 0, 0, 0, 0], [999, 0, 0, 0, 1, 0, 0, 0, 0, 0], [999, 0, 0, 0, 1, 0, 0, 0, 0, 0], [999, 0, 0, 0, 1, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [995, 0, 0, 0, 5, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [997, 0, 0, 0, 3, 0, 0, 0, 0, 0]]"
4,0.7669932632744312,0.70542,2.3785078144073486,0.1642,0.037221759557724,0.16420000791549683,0.059374045580625534,"[[770, 0, 0, 0, 230, 0, 0, 0, 0, 0], [400, 0, 0, 0, 600, 0, 0, 0, 0, 0], [202, 0, 0, 0, 798, 0, 0, 0, 0, 0], [137, 0, 0, 0, 863, 0, 0, 0, 0, 0], [128, 0, 0, 0, 872, 0, 0, 0, 0, 0], [169, 0, 0, 0, 831, 0, 0, 0, 0, 0], [24, 0, 0, 0, 976, 0, 0, 0, 0, 0], [120, 0, 0, 0, 880, 0, 0, 0, 0, 0], [767, 0, 0, 0, 233, 0, 0, 0, 0, 0], [425, 0, 0, 0, 575, 0, 0, 0, 0, 0]]"
5,0.7546184290349484,0.70814,2.3431295228004454,0.1226,0.029029881581664085,0.1226000040769577,0.04120257869362831,"[[971, 0, 0, 0, 29, 0, 0, 0, 0, 0], [929, 0, 0, 0, 71, 0, 0, 0, 0, 0], [822, 0, 0, 0, 178, 0, 0, 0, 0, 0], [872, 0, 0, 0, 128, 0, 0, 0, 0, 0], [745, 0, 0, 0, 255, 0, 0, 0, 0, 0], [851, 0, 0, 0, 149, 0, 0, 0, 0, 0], [562, 0, 0, 0, 438, 0, 0, 0, 0, 0], [887, 0, 0, 0, 113, 0, 0, 0, 0, 0], [993, 0, 0, 0, 7, 0, 0, 0, 0, 0], [926, 0, 0, 0, 74, 0, 0, 0, 0, 0]]"
6,0.735527129560709,0.71588,2.3536009764671326,0.144,0.0318470299243927,0.14399999380111694,0.049904532730579376,"[[958, 0, 0, 0, 42, 0, 0, 0, 0, 0], [887, 0, 0, 0, 113, 0, 0, 0, 0, 0], [655, 0, 0, 0, 345, 0, 0, 0, 0, 0], [731, 0, 0, 0, 269, 0, 0, 0, 0, 0], [518, 0, 0, 0, 482, 0, 0, 0, 0, 0], [724, 0, 0, 0, 276, 0, 0, 0, 0, 0], [340, 0, 0, 0, 660, 0, 0, 0, 0, 0], [770, 0, 0, 0, 230, 0, 0, 0, 0, 0], [981, 0, 0, 0, 19, 0, 0, 0, 0, 0], [901, 0, 0, 0, 99, 0, 0, 0, 0, 0]]"
7,0.703446476638317,0.73902,2.286343638896942,0.1687,0.036768801510334015,0.16870000958442688,0.059473346918821335,"[[795, 0, 0, 0, 205, 0, 0, 0, 0, 0], [492, 0, 0, 0, 508, 0, 0, 0, 0, 0], [216, 0, 0, 0, 784, 0, 0, 0, 0, 0], [141, 0, 0, 0, 859, 0, 0, 0, 0, 0], [108, 0, 0, 0, 892, 0, 0, 0, 0, 0], [175, 0, 0, 0, 825, 0, 0, 0, 0, 0], [28, 0, 0, 0, 972, 0, 0, 0, 0, 0], [172, 0, 0, 0, 828, 0, 0, 0, 0, 0], [786, 0, 0, 0, 214, 0, 0, 0, 0, 0], [514, 0, 0, 0, 486, 0, 0, 0, 0, 0]]"
8,0.6721641746759415,0.75074,2.218627460002899,0.1798,0.054162099957466125,0.17980000376701355,0.07593728601932526,"[[840, 0, 0, 49, 111, 0, 0, 0, 0, 0], [623, 0, 0, 131, 246, 0, 0, 0, 0, 0], [268, 0, 0, 86, 646, 0, 0, 0, 0, 0], [197, 0, 0, 152, 651, 0, 0, 0, 0, 0], [146, 0, 0, 48, 806, 0, 0, 0, 0, 0], [240, 0, 0, 158, 602, 0, 0, 0, 0, 0], [51, 0, 0, 38, 911, 0, 0, 0, 0, 0], [280, 0, 0, 70, 650, 0, 0, 0, 0, 0], [844, 0, 0, 68, 88, 0, 0, 0, 0, 0], [636, 0, 0, 57, 307, 0, 0, 0, 0, 0]]"
9,0.6454249420315027,0.76222,2.1209765028953553,0.198,0.16815978288650513,0.1979999840259552,0.10049627721309662,"[[810, 16, 0, 98, 73, 0, 0, 0, 0, 3], [579, 40, 0, 222, 151, 0, 0, 1, 0, 7], [222, 19, 0, 250, 502, 0, 0, 3, 0, 4], [148, 6, 0, 392, 450, 0, 0, 3, 0, 1], [125, 3, 0, 156, 710, 0, 0, 0, 0, 6], [161, 17, 0, 396, 426, 0, 0, 0, 0, 0], [39, 2, 0, 159, 799, 0, 0, 0, 0, 1], [203, 38, 0, 214, 500, 0, 0, 12, 0, 33], [812, 7, 0, 131, 45, 0, 0, 0, 0, 5], [603, 7, 0, 184, 190, 0, 0, 0, 0, 16]]"
10,0.6233399480432272,0.76974,2.077036341428757,0.2055,0.13436461985111237,0.20550000667572021,0.1273423582315445,"[[809, 86, 0, 25, 55, 0, 0, 9, 0, 16], [601, 177, 0, 81, 105, 0, 0, 18, 0, 18], [225, 107, 0, 130, 485, 0, 0, 32, 0, 21], [175, 106, 0, 216, 448, 0, 0, 40, 0, 15], [131, 46, 0, 83, 694, 0, 0, 30, 0, 16], [167, 150, 0, 208, 445, 0, 0, 21, 0, 9], [48, 41, 0, 98, 799, 0, 0, 7, 0, 7], [196, 147, 0, 79, 384, 0, 0, 112, 0, 82], [829, 65, 0, 52, 34, 0, 0, 3, 0, 17], [628, 92, 0, 75, 125, 0, 0, 33, 0, 47]]"
11,0.6113076733648777,0.77308,2.030400940179825,0.2252,0.15583458542823792,0.22519999742507935,0.15027710795402527,"[[730, 110, 0, 42, 72, 0, 0, 27, 0, 19], [448, 293, 0, 94, 113, 0, 0, 31, 0, 21], [160, 84, 0, 119, 579, 0, 0, 45, 0, 13], [81, 63, 0, 195, 582, 0, 0, 65, 0, 14], [83, 31, 0, 60, 771, 0, 0, 46, 0, 9], [64, 107, 0, 197, 590, 0, 0, 35, 0, 7], [18, 26, 0, 74, 855, 0, 0, 24, 0, 3], [86, 108, 0, 74, 490, 0, 0, 208, 0, 34], [732, 112, 0, 64, 54, 0, 0, 26, 0, 12], [489, 127, 0, 88, 173, 0, 0, 68, 0, 55]]"
12,0.5991345453932881,0.78026,2.0056168234348295,0.2366,0.20303554832935333,0.23660001158714294,0.1623605489730835,"[[738, 121, 0, 34, 40, 0, 0, 44, 0, 23], [533, 278, 0, 102, 37, 0, 0, 31, 0, 19], [169, 100, 0, 163, 443, 0, 0, 112, 1, 12], [98, 83, 0, 276, 397, 0, 0, 131, 0, 15], [93, 33, 0, 114, 653, 0, 0, 101, 0, 6], [75, 128, 0, 265, 411, 0, 0, 114, 0, 7], [24, 34, 0, 166, 700, 0, 0, 67, 0, 9], [96, 110, 0, 103, 291, 0, 0, 354, 0, 46], [756, 117, 0, 68, 17, 0, 0, 28, 1, 13], [553, 138, 0, 90, 71, 0, 0, 82, 0, 66]]"
13,0.5899800016582012,0.7872,1.9898131382465363,0.2406,0.15383081138134003,0.24060000479221344,0.16142788529396057,"[[750, 131, 0, 40, 24, 0, 0, 50, 0, 5], [577, 289, 0, 87, 20, 0, 0, 24, 0, 3], [171, 100, 0, 220, 372, 0, 0, 133, 0, 4], [102, 71, 0, 364, 308, 0, 0, 149, 0, 6], [102, 25, 0, 177, 567, 0, 0, 128, 0, 1], [76, 102, 0, 352, 321, 0, 0, 147, 0, 2], [33, 38, 0, 272, 568, 0, 0, 86, 0, 3], [119, 95, 0, 147, 207, 0, 0, 419, 0, 13], [765, 126, 0, 70, 7, 0, 0, 26, 0, 6], [629, 144, 0, 99, 38, 0, 0, 73, 0, 17]]"
14,0.5855316016376019,0.78778,1.9527454328536988,0.2564,0.1676340401172638,0.2563999891281128,0.17939573526382446,"[[674, 150, 0, 54, 18, 0, 0, 87, 0, 17], [461, 378, 0, 82, 13, 0, 0, 49, 0, 17], [135, 89, 0, 251, 323, 0, 0, 193, 0, 9], [48, 66, 0, 398, 262, 0, 0, 216, 0, 10], [71, 25, 0, 193, 525, 0, 0, 179, 0, 7], [42, 87, 0, 374, 271, 0, 0, 222, 0, 4], [14, 32, 0, 296, 511, 0, 0, 141, 0, 6], [60, 80, 0, 157, 157, 0, 0, 521, 0, 25], [686, 176, 0, 74, 6, 0, 0, 45, 0, 13], [470, 197, 0, 118, 22, 0, 0, 125, 0, 68]]"
