round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score,confusion_matrix
1,1.0821036075651647,0.70302,2.3105707693099977,0.1,0.009999999776482582,0.10000000149011612,0.01818181946873665,"[[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
2,0.8427368315160274,0.69914,2.335134072303772,0.1,0.009999999776482582,0.10000000149011612,0.01818181946873665,"[[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
3,0.8001229486614466,0.6985,2.3514096617698668,0.1,0.010003001429140568,0.10000000149011612,0.0181867778301239,"[[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [999, 0, 0, 0, 1, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [998, 0, 0, 0, 2, 0, 0, 0, 0, 0]]"
4,0.7721098661124707,0.70226,2.3643123745918273,0.1008,0.020904183387756348,0.10080000013113022,0.020611871033906937,"[[995, 0, 0, 0, 5, 0, 0, 0, 0, 0], [979, 0, 0, 0, 21, 0, 0, 0, 0, 0], [993, 0, 0, 0, 7, 0, 0, 0, 0, 0], [992, 0, 0, 0, 8, 0, 0, 0, 0, 0], [987, 0, 0, 0, 13, 0, 0, 0, 0, 0], [989, 0, 0, 0, 11, 0, 0, 0, 0, 0], [961, 0, 0, 0, 39, 0, 0, 0, 0, 0], [993, 0, 0, 0, 7, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [991, 0, 0, 0, 9, 0, 0, 0, 0, 0]]"
5,0.7623622169196606,0.69676,2.3489068055152895,0.1,0.022495992481708527,0.10000000894069672,0.0185655876994133,"[[998, 0, 0, 0, 2, 0, 0, 0, 0, 0], [998, 0, 0, 0, 2, 0, 0, 0, 0, 0], [999, 0, 0, 0, 1, 0, 0, 0, 0, 0], [999, 0, 0, 0, 1, 0, 0, 0, 0, 0], [998, 0, 0, 0, 2, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [995, 0, 0, 0, 5, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [997, 0, 0, 0, 3, 0, 0, 0, 0, 0]]"
6,0.7472227455973626,0.7085,2.3452517580986023,0.1039,0.02670186758041382,0.1039000004529953,0.025943893939256668,"[[991, 0, 0, 0, 9, 0, 0, 0, 0, 0], [977, 0, 0, 0, 23, 0, 0, 0, 0, 0], [970, 0, 0, 0, 30, 0, 0, 0, 0, 0], [980, 0, 0, 0, 20, 0, 0, 0, 0, 0], [952, 0, 0, 0, 48, 0, 0, 0, 0, 0], [974, 0, 0, 0, 26, 0, 0, 0, 0, 0], [896, 0, 0, 0, 104, 0, 0, 0, 0, 0], [984, 0, 0, 0, 16, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [985, 0, 0, 0, 15, 0, 0, 0, 0, 0]]"
7,0.7270597021579742,0.71916,2.308326141834259,0.1683,0.036131106317043304,0.16830000281333923,0.0588177889585495,"[[815, 0, 0, 0, 185, 0, 0, 0, 0, 0], [490, 0, 0, 0, 510, 0, 0, 0, 0, 0], [239, 0, 0, 0, 761, 0, 0, 0, 0, 0], [158, 0, 0, 0, 842, 0, 0, 0, 0, 0], [132, 0, 0, 0, 868, 0, 0, 0, 0, 0], [201, 0, 0, 0, 799, 0, 0, 0, 0, 0], [35, 0, 0, 0, 965, 0, 0, 0, 0, 0], [196, 0, 0, 0, 804, 0, 0, 0, 0, 0], [815, 0, 0, 0, 185, 0, 0, 0, 0, 0], [536, 0, 0, 0, 464, 0, 0, 0, 0, 0]]"
8,0.6952587877810001,0.73724,2.259919548034668,0.1689,0.03549393266439438,0.1689000129699707,0.058204285800457,"[[824, 0, 0, 0, 176, 0, 0, 0, 0, 0], [552, 0, 0, 0, 448, 0, 0, 0, 0, 0], [253, 0, 0, 0, 747, 0, 0, 0, 0, 0], [176, 0, 0, 0, 824, 0, 0, 0, 0, 0], [135, 0, 0, 0, 865, 0, 0, 0, 0, 0], [215, 0, 0, 0, 785, 0, 0, 0, 0, 0], [42, 0, 0, 0, 958, 0, 0, 0, 0, 0], [235, 0, 0, 0, 765, 0, 0, 0, 0, 0], [830, 0, 0, 0, 170, 0, 0, 0, 0, 0], [580, 0, 0, 0, 420, 0, 0, 0, 0, 0]]"
9,0.6635993863642216,0.75194,2.194960799217224,0.1753,0.07565748691558838,0.1753000020980835,0.06936173141002655,"[[855, 2, 0, 16, 127, 0, 0, 0, 0, 0], [656, 6, 0, 71, 266, 0, 0, 0, 0, 1], [289, 8, 0, 32, 671, 0, 0, 0, 0, 0], [208, 1, 0, 67, 724, 0, 0, 0, 0, 0], [157, 0, 0, 18, 825, 0, 0, 0, 0, 0], [264, 4, 0, 63, 669, 0, 0, 0, 0, 0], [56, 1, 0, 15, 928, 0, 0, 0, 0, 0], [314, 2, 0, 26, 657, 0, 0, 0, 0, 1], [858, 2, 0, 42, 98, 0, 0, 0, 0, 0], [660, 1, 0, 22, 317, 0, 0, 0, 0, 0]]"
10,0.635794723123312,0.76354,2.151975975036621,0.1815,0.09258277714252472,0.18150000274181366,0.083863265812397,"[[847, 17, 0, 26, 100, 0, 0, 0, 0, 10], [658, 26, 0, 85, 209, 0, 0, 0, 0, 22], [283, 25, 0, 48, 631, 0, 0, 0, 0, 13], [209, 9, 0, 99, 672, 0, 0, 0, 0, 11], [152, 1, 0, 31, 802, 0, 0, 0, 0, 14], [249, 15, 0, 106, 627, 0, 0, 0, 0, 3], [56, 5, 0, 31, 904, 0, 0, 0, 0, 4], [248, 26, 0, 39, 600, 0, 0, 0, 0, 87], [857, 7, 0, 49, 74, 0, 0, 0, 0, 13], [640, 4, 0, 37, 278, 0, 0, 0, 0, 41]]"
