round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score,confusion_matrix
1,2.1551468427181244,0.16386,2.3036892938613893,0.1,0.009999999776482582,0.10000000149011612,0.01818181946873665,"[[0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0]]"
2,2.0897372319698335,0.1599,2.304615330696106,0.1,0.009999999776482582,0.10000000149011612,0.01818181946873665,"[[0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0]]"
3,2.067271876335144,0.1648,2.300067858695984,0.1,0.009999999776482582,0.10000000149011612,0.01818181946873665,"[[0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1000, 0, 0, 0, 0, 0, 0, 0, 0]]"
4,2.043536451816559,0.1808,2.2752971768379213,0.1118,0.0568912997841835,0.11180000752210617,0.03894493728876114,"[[0, 861, 0, 0, 0, 30, 0, 0, 109, 0], [0, 989, 0, 0, 0, 5, 0, 0, 6, 0], [0, 970, 0, 0, 0, 11, 0, 0, 19, 0], [0, 935, 0, 0, 0, 43, 0, 0, 22, 0], [0, 957, 0, 0, 0, 33, 0, 0, 10, 0], [0, 930, 0, 0, 0, 37, 0, 0, 33, 0], [0, 986, 0, 0, 0, 10, 0, 0, 4, 0], [0, 963, 0, 0, 0, 24, 0, 0, 13, 0], [0, 895, 0, 0, 0, 13, 0, 0, 92, 0], [0, 985, 0, 0, 0, 2, 0, 0, 13, 0]]"
5,1.9721788163185119,0.23046,2.114345072507858,0.2151,0.23930124938488007,0.2151000052690506,0.161468505859375,"[[48, 74, 6, 44, 14, 35, 59, 1, 650, 69], [2, 202, 1, 49, 3, 45, 144, 0, 360, 194], [47, 146, 5, 53, 41, 67, 368, 2, 196, 75], [17, 128, 3, 149, 17, 88, 380, 2, 141, 75], [8, 120, 7, 78, 33, 37, 520, 4, 109, 84], [8, 127, 3, 151, 24, 125, 274, 3, 233, 52], [3, 154, 3, 60, 20, 39, 578, 0, 62, 81], [12, 137, 2, 94, 12, 75, 349, 13, 163, 143], [7, 55, 1, 49, 4, 46, 36, 1, 675, 126], [1, 162, 1, 23, 6, 20, 120, 2, 342, 323]]"
6,1.8843768017292022,0.27308,2.044221581220627,0.2547,0.21034757792949677,0.2547000050544739,0.20278804004192352,"[[391, 25, 0, 32, 0, 26, 56, 22, 414, 34], [29, 87, 0, 49, 0, 94, 141, 28, 464, 108], [143, 46, 0, 108, 0, 55, 425, 54, 119, 50], [55, 34, 1, 222, 0, 89, 371, 70, 110, 48], [39, 20, 0, 114, 0, 23, 613, 40, 98, 53], [57, 37, 2, 190, 0, 137, 315, 47, 176, 39], [18, 27, 1, 93, 1, 26, 718, 46, 33, 37], [37, 42, 0, 127, 0, 54, 330, 127, 169, 114], [118, 18, 0, 45, 0, 35, 23, 20, 673, 68], [13, 44, 0, 42, 0, 26, 136, 60, 487, 192]]"
7,1.8459036407470704,0.2858,2.015450668334961,0.254,0.23881900310516357,0.2540000081062317,0.20122592151165009,"[[161, 33, 1, 30, 0, 27, 47, 35, 623, 43], [6, 144, 0, 23, 0, 107, 107, 58, 447, 108], [89, 41, 1, 87, 0, 71, 424, 91, 141, 55], [31, 34, 1, 179, 0, 110, 372, 114, 114, 45], [26, 12, 0, 86, 0, 32, 609, 81, 104, 50], [17, 40, 2, 158, 0, 156, 339, 94, 158, 36], [10, 21, 0, 72, 0, 23, 728, 83, 28, 35], [22, 47, 0, 82, 0, 61, 320, 204, 135, 129], [33, 24, 0, 38, 0, 38, 22, 23, 756, 66], [3, 43, 0, 32, 0, 32, 105, 112, 462, 211]]"
8,1.8271212179660796,0.29512,1.977751452922821,0.2727,0.2386482059955597,0.2727000117301941,0.22653810679912567,"[[211, 51, 0, 32, 1, 24, 57, 37, 505, 82], [6, 272, 0, 16, 0, 89, 131, 47, 279, 160], [97, 55, 0, 67, 0, 63, 479, 85, 90, 64], [24, 43, 0, 160, 0, 109, 423, 113, 70, 58], [26, 11, 1, 68, 0, 32, 656, 70, 73, 63], [11, 60, 0, 138, 0, 159, 404, 83, 98, 47], [7, 17, 0, 53, 1, 27, 773, 65, 16, 41], [20, 62, 0, 68, 0, 60, 374, 191, 65, 160], [45, 51, 0, 25, 0, 51, 31, 26, 631, 140], [6, 84, 0, 25, 0, 29, 130, 100, 296, 330]]"
9,1.801841605424881,0.30822,1.9491926181316375,0.289,0.2898634970188141,0.289000004529953,0.24282769858837128,"[[238, 76, 0, 24, 1, 12, 47, 35, 496, 71], [8, 346, 0, 10, 0, 65, 106, 41, 275, 149], [106, 84, 5, 66, 2, 78, 417, 96, 86, 60], [28, 74, 3, 151, 0, 126, 341, 131, 82, 64], [27, 25, 0, 69, 0, 43, 614, 79, 84, 59], [17, 89, 2, 132, 1, 185, 330, 92, 103, 49], [7, 28, 0, 47, 0, 38, 738, 72, 20, 50], [23, 91, 0, 63, 0, 61, 281, 259, 69, 153], [55, 74, 1, 19, 0, 46, 20, 27, 656, 102], [10, 123, 0, 24, 0, 22, 94, 83, 332, 312]]"
10,1.7770076274871827,0.3203,1.9160581731796265,0.3046,0.2986990213394165,0.3046000003814697,0.26252612471580505,"[[303, 69, 3, 32, 5, 10, 46, 60, 402, 70], [12, 358, 0, 20, 0, 52, 117, 58, 240, 143], [108, 71, 4, 86, 29, 46, 424, 140, 57, 35], [23, 50, 6, 184, 9, 81, 383, 166, 60, 38], [28, 18, 1, 80, 18, 20, 616, 121, 58, 40], [13, 59, 4, 183, 21, 125, 358, 137, 70, 30], [8, 16, 0, 51, 8, 18, 770, 89, 9, 31], [23, 64, 1, 67, 20, 45, 278, 357, 49, 96], [78, 66, 1, 35, 1, 37, 24, 49, 611, 98], [11, 120, 0, 30, 1, 15, 111, 119, 277, 316]]"
11,1.7538247828483582,0.33466,1.8656486928462983,0.3303,0.33240264654159546,0.330299973487854,0.29853686690330505,"[[410, 70, 6, 24, 11, 21, 42, 103, 257, 56], [19, 392, 0, 11, 0, 64, 105, 74, 202, 133], [115, 61, 11, 63, 98, 81, 347, 171, 37, 16], [29, 46, 9, 145, 35, 135, 330, 205, 41, 25], [35, 17, 4, 56, 105, 40, 524, 160, 37, 22], [25, 46, 9, 111, 61, 211, 294, 182, 43, 18], [4, 14, 1, 27, 22, 41, 752, 105, 8, 26], [25, 52, 3, 41, 56, 73, 208, 460, 33, 49], [152, 75, 1, 21, 3, 53, 21, 73, 513, 88], [14, 140, 1, 23, 2, 24, 113, 140, 239, 304]]"
12,1.7190038423538208,0.35246,1.8215589439868927,0.3435,0.3458425998687744,0.343500018119812,0.31152358651161194,"[[344, 75, 7, 18, 16, 19, 39, 96, 337, 49], [14, 410, 1, 17, 7, 44, 94, 66, 216, 131], [105, 61, 11, 48, 162, 70, 311, 163, 54, 15], [24, 53, 10, 116, 66, 127, 339, 188, 56, 21], [31, 20, 7, 41, 211, 36, 439, 157, 42, 16], [21, 44, 7, 71, 103, 229, 272, 178, 61, 14], [1, 12, 1, 22, 54, 33, 740, 102, 12, 23], [29, 47, 4, 33, 121, 59, 152, 485, 38, 32], [89, 79, 0, 16, 5, 43, 24, 70, 604, 70], [11, 151, 0, 30, 4, 21, 113, 126, 259, 285]]"
13,1.699335245847702,0.35908,1.785005955696106,0.3537,0.355330228805542,0.35370001196861267,0.32163509726524353,"[[279, 83, 11, 21, 14, 10, 33, 91, 399, 59], [9, 454, 1, 23, 4, 31, 68, 53, 207, 150], [91, 70, 24, 56, 161, 52, 277, 183, 69, 17], [19, 61, 13, 136, 58, 109, 315, 195, 58, 36], [24, 26, 8, 48, 242, 37, 351, 203, 45, 16], [16, 50, 15, 107, 115, 190, 220, 203, 61, 23], [1, 18, 2, 37, 78, 27, 690, 103, 14, 30], [28, 51, 8, 37, 99, 47, 109, 544, 30, 47], [62, 79, 2, 22, 3, 32, 26, 49, 635, 90], [9, 192, 2, 38, 4, 18, 84, 87, 223, 343]]"
14,1.6816385424137115,0.3663,1.7560215198993683,0.3757,0.3662949502468109,0.3756999969482422,0.3470189869403839,"[[386, 101, 14, 14, 14, 17, 27, 75, 289, 63], [14, 529, 1, 19, 4, 35, 29, 45, 155, 169], [105, 83, 33, 51, 163, 94, 194, 195, 57, 25], [24, 75, 13, 116, 41, 207, 221, 203, 51, 49], [41, 34, 16, 36, 238, 77, 247, 250, 33, 28], [19, 64, 24, 62, 84, 300, 144, 216, 52, 35], [0, 27, 8, 35, 84, 59, 610, 125, 13, 39], [32, 64, 6, 26, 59, 75, 71, 579, 25, 63], [119, 100, 3, 18, 2, 34, 18, 38, 568, 100], [12, 228, 2, 20, 1, 26, 61, 67, 185, 398]]"
15,1.6639932767152785,0.37204,1.7382815039157868,0.371,0.36877089738845825,0.3709999918937683,0.339670866727829,"[[278, 79, 11, 21, 7, 10, 26, 78, 420, 70], [6, 484, 0, 29, 3, 16, 34, 45, 203, 180], [90, 69, 30, 67, 149, 64, 223, 198, 79, 31], [20, 58, 15, 160, 32, 152, 259, 196, 59, 49], [31, 23, 16, 53, 205, 61, 288, 250, 44, 29], [16, 53, 19, 114, 58, 247, 162, 240, 60, 31], [0, 25, 7, 47, 66, 29, 644, 125, 16, 41], [26, 56, 5, 51, 39, 51, 80, 598, 31, 63], [88, 80, 1, 26, 1, 20, 18, 33, 645, 88], [8, 177, 2, 35, 1, 9, 67, 67, 215, 419]]"
16,1.6362154641151427,0.38326,1.7016638505458832,0.3847,0.37950554490089417,0.3847000002861023,0.35814452171325684,"[[480, 67, 13, 16, 14, 5, 22, 62, 290, 31], [30, 495, 2, 14, 4, 12, 28, 43, 231, 141], [128, 71, 58, 56, 188, 51, 192, 186, 57, 13], [40, 50, 28, 156, 59, 118, 256, 198, 59, 36], [49, 20, 39, 54, 295, 29, 219, 237, 43, 15], [33, 48, 39, 123, 95, 195, 151, 245, 55, 16], [3, 27, 12, 49, 118, 12, 611, 112, 20, 36], [39, 46, 15, 49, 70, 35, 73, 605, 27, 41], [176, 71, 2, 26, 1, 11, 21, 26, 623, 43], [25, 182, 3, 26, 3, 7, 68, 71, 286, 329]]"
